word	zipf	dom_pos	all_pos
plummets	1.894	Verb	Verb
plummy	1.769	Noun	Noun|Adjective
plump	3.173	Adjective	Adjective|Verb|Noun
plumped	1.769	Verb	Verb
plumper	1.894	Noun	Noun|Adjective
plums	3.024	Noun	Noun
plunder	2.935	Verb	Verb|Noun
plundered	2.571	Verb	Verb
plunderers	1.593	Noun	Noun
plundering	2.246	Verb	Verb
plunders	2.195	Verb	Verb|Noun
plunge	3.353	Noun	Noun|Verb
plunged	2.999	Verb	Verb
plunger	2.982	Adjective	Adjective|Verb|Name
plungers	1.894	Verb	Verb
plunges	2.406	Verb	Verb|Noun
