word	zipf	dom_pos	all_pos
pipette	1.593	Noun	Noun
pipi	2.292	Noun	Noun|Name
piping	2.860	Noun	Noun|Verb|Adjective
pipistrelle	1.593	Noun	Noun
pipkin	2.070	Name	Name|Noun
pippen	2.406	Name	Name|Verb
pipper	1.593	Name	Name
pippin	3.131	Name	Name|Noun
pipping	1.593	Verb	Verb
pippins	1.769	Noun	Noun
pippy	2.137	Adjective	Adjective|Name
pips	3.048	Noun	Noun|Name|Verb
pipsqueak	2.654	Noun	Noun|Verb
pipsqueaks	1.769	Noun	Noun
piquancy	1.769	Noun	Noun
piquant	2.333	Adjective	Adjective|Noun
pique	2.438	Noun	Noun|Verb
piqued	2.406	Verb	Verb|Adjective
piques	1.769	Verb	Verb
piquet	2.246	Noun	Noun|Name
piquette	1.593	Noun	Noun
piquing	1.593	Verb	Verb
piracy	2.915	Noun	Noun
piranha	3.077	Noun	Noun|Name
piranhas	2.707	Noun	Noun
pirate	3.867	Noun	Noun|Verb
pirated	2.371	Verb	Verb|Adjective
pirates	3.827	Noun	Noun
piratical	1.769	Adjective	Adjective
pirating	2.571	Verb	Verb|Adjective|Noun
pirogi	1.991	Noun	Noun
pirogues	1.593	Noun	Noun
piroshki	1.593	Noun	Noun
pirouette	2.496	Noun	Noun|Name
pirouetted	1.593	Verb	Verb
pirouettes	2.195	Noun	Noun
pirouetting	1.593	Adjective	Adjective
pirozhki	1.769	Noun	Noun
pis	1.991	Noun	Noun
pisa	2.496	Name	Name
piscatorial	1.894	Adjective	Adjective
pisces	2.634	Name	Name
piscine	1.769	Verb	Verb|Name
pisco	1.593	Noun	Noun
pish	2.371	Verb	Verb|Adjective
pishes	1.593	Verb	Verb
pishposh	1.593	Verb	Verb
pisk	1.769	Noun	Noun
pismire	1.593	Noun	Noun
piss	4.372	Verb	Verb|Noun
pissant	3.131	Noun	Noun|Adjective|Name
pissants	1.991	Noun	Noun
pissed	4.406	Verb	Verb|Adjective
pisser	2.769	Noun	Noun
pissers	1.769	Noun	Noun
pisses	3.425	Verb	Verb
pissing	3.698	Verb	Verb|Adjective
pistachio	3.184	Noun	Noun|Name
pistachios	2.496	Noun	Noun|Name
piste	1.593	Noun	Noun
pistil	2.070	Noun	Noun
pistils	1.593	Noun	Noun
pistol	4.003	Noun	Noun
pistolier	1.593	Adjective	Adjective
pistols	3.279	Noun	Noun
piston	3.077	Noun	Noun
pistonhead	1.593	Noun	Noun
pistons	2.973	Noun	Noun
pit	4.121	Noun	Noun|Verb|Name
pita	3.055	Noun	Noun|Name
pitas	1.593	Noun	Noun
pitch	4.191	Noun	Noun|Verb
pitchblende	2.137	Noun	Noun
pitched	3.313	Verb	Verb|Adjective
pitcher	3.512	Noun	Noun|Name
pitcherful	1.593	Noun	Noun
pitchers	2.783	Noun	Noun
pitches	3.048	Noun	Noun|Verb
pitchfork	2.848	Noun	Noun|Verb|Name
pitchforks	2.468	Noun	Noun
pitching	3.577	Verb	Verb|Noun
pitchman	2.070	Noun	Noun
pitchmen	1.593	Noun	Noun
pitchpot	1.593	Noun	Noun
piteous	2.246	Adjective	Adjective
piteously	1.593	Adverb	Adverb
pitfall	1.593	Noun	Noun
pitfalls	2.468	Noun	Noun
pith	2.333	Noun	Noun
pithecanthropus	2.246	Noun	Noun|Name
pithing	1.593	Verb	Verb
pithy	2.614	Adjective	Adjective
pitiable	2.195	Adjective	Adjective
