word	pos	cefr	cefr_all	list
settlement	n	C1	C1	oxford5000
settler	n	B2	B2	oxford5000
seven	number	A1	A1	oxford3000
seventeen	number	A1	A1	oxford3000
seventy	number	A1	A1	oxford3000
several	det|pron	A2	A2	oxford3000
severe	adj	B2	B2	oxford3000
severely	adv	B2	B2	oxford5000
sex	n	B1	B1	oxford3000
sexual	adj	B1	B1	oxford3000
sexuality	n	C1	C1	oxford5000
sexy	adj	B2	B2	oxford5000
shade	n	B2	B2	oxford3000
shadow	n	B2	B2	oxford3000
shake	v|n	A2	A2|B1	oxford3000
shall	modal v	A2	A2	oxford3000
shallow	adj	B2	B2	oxford3000
shame	n	B2	B2	oxford3000
shape	n|v	A2	A2|B2	oxford3000
shaped	adj	B2	B2	oxford5000
share	v|n	A1	A1|B1	oxford3000
shareholder	n	C1	C1	oxford5000
sharp	adj	B1	B1	oxford3000
shatter	v	C1	C1	oxford5000
she	pron	A1	A1	oxford3000
shed	v	C1	C1	oxford5000
sheep	n	A1	A1	oxford3000
sheer	adj	C1	C1	oxford5000
sheet	n	A2	A2	oxford3000
shelf	n	B1	B1	oxford3000
shell	n	B1	B1	oxford3000
shelter	n|v	B2	B2	oxford3000
shift	n|v	B1	B1|B2	oxford3000
shine	v	B1	B1	oxford3000
shiny	adj	B1	B1	oxford3000
ship	n|v	A2	A2|B2	oxford3000
shipping	n	C1	C1	oxford5000
shirt	n	A1	A1	oxford3000
shock	n|v	B2	B2	oxford3000
shocked	adj	B2	B2	oxford3000
shocking	adj	B2	B2	oxford5000
shoe	n	A1	A1	oxford3000
shoot	v|n	B1	B1|C1	oxford3000
shooting	n	B2	B2	oxford3000
shop	n|v	A1	A1	oxford3000
shopping	n	A1	A1	oxford3000
shore	n	B2	B2	oxford5000
short	adj	A1	A1	oxford3000
short-term	adj	B2	B2	oxford5000
shortage	n	B2	B2	oxford5000
shortly	adv	B2	B2	oxford5000
shot	n	B2	B2	oxford3000
should	modal v	A1	A1	oxford3000
shoulder	n	A2	A2	oxford3000
shout	v|n	A2	A2	oxford3000
show	v|n	A1	A1	oxford3000
shower	n	A1	A1	oxford3000
shrink	v	C1	C1	oxford5000
shrug	v	C1	C1	oxford5000
shut	v|adj	A2	A2	oxford3000
shy	adj	B1	B1	oxford3000
sibling	n	B2	B2	oxford5000
sick	adj	A1	A1	oxford3000
side	n	A2	A2	oxford3000
sigh	v|n	C1	C1	oxford5000
sight	n	B1	B1	oxford3000
sign	n|v	A2	A2	oxford3000
signal	n|v	B1	B1	oxford3000
signature	n	B2	B2	oxford5000
significance	n	B2	B2	oxford5000
significant	adj	B2	B2	oxford3000
significantly	adv	B2	B2	oxford3000
silence	n	B2	B2	oxford3000
silent	adj	B1	B1	oxford3000
silk	n	B2	B2	oxford3000
silly	adj	B1	B1	oxford3000
silver	n|adj	A2	A2	oxford3000
similar	adj	A1	A1	oxford3000
similarity	n	B1	B1	oxford3000
similarly	adv	B1	B1	oxford3000
simple	adj	A2	A2	oxford3000
simply	adv	B1	B1	oxford3000
simulate	v	C1	C1	oxford5000
simulation	n	C1	C1	oxford5000
simultaneously	adv	C1	C1	oxford5000
sin	n	C1	C1	oxford5000
since	prep|conj|adv	A2	A2|B1	oxford3000
sincere	adj	B2	B2	oxford3000
sing	v	A1	A1	oxford3000
singer	n	A1	A1	oxford3000
singing	n	A2	A2	oxford3000
single	adj|n	A2	A2	oxford3000
sink	v	B1	B1	oxford3000
sir	n	A2	A2	oxford3000
sister	n	A1	A1	oxford3000
sit	v	A1	A1	oxford3000
site	n	A2	A2	oxford3000
situated	adj	C1	C1	oxford5000
situation	n	A1	A1	oxford3000
six	number	A1	A1	oxford3000
sixteen	number	A1	A1	oxford3000
sixty	number	A1	A1	oxford3000
size	n	A2	A2	oxford3000
sketch	n	C1	C1	oxford5000
ski	v|n	A2	A2	oxford3000
skiing	n	A2	A2	oxford3000
skill	n	A1	A1	oxford3000
skilled	adj	B2	B2	oxford5000
skin	n	A2	A2	oxford3000
skip	v	C1	C1	oxford5000
skirt	n	A1	A1	oxford3000
skull	n	B2	B2	oxford5000
sky	n	A2	A2	oxford3000
slam	v	C1	C1	oxford5000
slap	v	C1	C1	oxford5000
slash	v	C1	C1	oxford5000
slave	n	B2	B2	oxford3000
slavery	n	C1	C1	oxford5000
sleep	v|n	A1	A1|A2	oxford3000
slice	n|v	B1	B1	oxford3000
slide	v|n	B2	B2	oxford3000
slight	adj	B2	B2	oxford3000
slightly	adv	B1	B1	oxford3000
slip	v	B2	B2	oxford3000
slogan	n	B2	B2	oxford5000
slope	n|v	B2	B2	oxford3000
slot	n	C1	C1	oxford5000
slow	adj|v	A1	A1|B1	oxford3000
slowly	adv	A2	A2	oxford3000
small	adj	A1	A1	oxford3000
smart	adj	B1	B1	oxford3000
smartphone	n	A2	A2	oxford3000
smash	v	C1	C1	oxford5000
smell	v|n	A2	A2	oxford3000
smile	v|n	A2	A2	oxford3000
smoke	n|v	A2	A2	oxford3000
smoking	n	A2	A2	oxford3000
smooth	adj	B1	B1	oxford3000
snake	n	A1	A1	oxford3000
snap	v	C1	C1	oxford5000
snow	n|v	A1	A1	oxford3000
so	adv|conj	A1	A1	oxford3000
so-called	adj	B2	B2	oxford5000
soak	v	C1	C1	oxford5000
soap	n	A2	A2	oxford3000
soar	v	C1	C1	oxford5000
soccer	n	A2	A2	oxford3000
social	adj	A2	A2	oxford3000
socialist	adj	C1	C1	oxford5000
society	n	A2	A2	oxford3000
sock	n	A2	A2	oxford3000
soft	adj	A2	A2	oxford3000
software	n	B1	B1	oxford3000
soil	n	B1	B1	oxford3000
solar	adj	B2	B2	oxford3000
soldier	n	A2	A2	oxford3000
sole	adj	C1	C1	oxford5000
solely	adv	C1	C1	oxford5000
solicitor	n	C1	C1	oxford5000
solid	adj|n	B1	B1	oxford3000
solidarity	n	C1	C1	oxford5000
solo	adj|n	C1	C1	oxford5000
solution	n	A2	A2	oxford3000
solve	v	A2	A2	oxford3000
some	det|pron	A1	A1	oxford3000
somebody	pron	A1	A1	oxford3000
somehow	adv	B2	B2	oxford5000
someone	pron	A1	A1	oxford3000
something	pron	A1	A1	oxford3000
sometime	adv	B2	B2	oxford5000
sometimes	adv	A1	A1	oxford3000
somewhat	adv	B2	B2	oxford3000
somewhere	adv|pron	A2	A2	oxford3000
