word	pknown	prevalence	nobs
absorbance	0.9392	1.513	148
absorbed	0.9907	2.191	430
absorbedly	0.7714	0.735	385
absorbedness	0.7160	0.565	243
absorbency	0.9763	1.903	379
absorbent	0.9950	2.327	398
absorber	0.9400	1.519	417
absorbing	0.9974	2.430	388
absorbingly	0.9098	1.315	377
absorption	0.9812	1.985	426
absorptive	0.7128	0.555	376
absorptiveness	0.6364	0.345	253
absorptivity	0.6400	0.355	150
abstain	0.9746	1.878	393
abstainer	0.9262	1.418	420
abstemious	0.5209	0.052	407
abstemiously	0.5014	0.003	361
abstemiousness	0.4298	-0.175	363
abstention	0.8623	1.075	385
abstentious	0.7822	0.770	381
abstergent	0.2630	-0.627	384
abstinence	0.9834	2.025	361
abstinent	0.9443	1.554	413
abstinently	0.7962	0.818	211
abstract	1.0000	2.576	409
abstracted	0.9738	1.867	458
abstractedly	0.8699	1.109	392
abstractedness	0.8337	0.956	415
abstracter	0.7763	0.750	371
abstraction	0.9784	1.937	417
abstractionism	0.8337	0.956	415
abstractionist	0.8946	1.230	370
abstractive	0.7618	0.704	403
abstractly	0.9817	1.994	383
abstractness	0.9192	1.372	396
abstractor	0.8535	1.036	396
abstruse	0.4975	-0.006	408
abstrusely	0.5356	0.088	295
abstruseness	0.5670	0.167	358
absurd	0.9952	2.335	416
absurdist	0.8645	1.084	391
absurdity	0.9926	2.248	407
absurdly	0.9810	1.981	422
absurdness	0.9387	1.509	261
abundance	0.9947	2.316	376
abundant	0.9905	2.185	419
abundantly	0.9869	2.097	381
abuse	0.9978	2.446	445
abuser	0.9868	2.096	380
abusive	0.9929	2.257	424
abusively	0.9772	1.917	438
abusiveness	0.9580	1.679	381
abut	0.5255	0.063	392
abutilon	0.1235	-1.140	405
abutment	0.6126	0.283	382
abuttal	0.6095	0.275	402
abutter	0.2861	-0.559	402
abutting	0.7130	0.556	460
abuzz	0.7972	0.821	429
abysm	0.4569	-0.107	394
abysmal	0.9568	1.667	347
abysmally	0.9062	1.294	416
abyss	0.9925	2.245	402
abyssal	0.7020	0.524	396
acacia	0.7475	0.659	400
academe	0.5553	0.138	434
academia	0.9746	1.879	394
academic	0.9949	2.325	394
academically	0.9952	2.336	417
academicals	0.4772	-0.057	417
academician	0.6547	0.394	362
academicians	0.7059	0.535	170
academicism	0.6373	0.348	386
academics	1.0000	2.576	167
academism	0.6403	0.355	417
academy	0.9976	2.440	423
acajou	0.0685	-1.455	409
acanthine	0.2304	-0.729	382
acanthocephalan	0.2324	-0.722	413
acanthodian	0.1487	-1.027	390
acanthus	0.3671	-0.336	395
acatalectic	0.1612	-0.976	366
accede	0.7240	0.588	366
accelerando	0.3341	-0.424	428
accelerant	0.9637	1.740	386
accelerate	1.0000	2.576	417
accelerated	0.9944	2.307	359
acceleration	0.9899	2.171	398
accelerative	0.8177	0.895	395
accelerator	1.0000	2.576	407
acceleratory	0.8428	0.992	388
accelerometer	0.8375	0.971	400
accent	0.9873	2.108	395
accentor	0.5770	0.192	435
accentual	0.7603	0.699	363
accentually	0.6914	0.494	243
accentuate	0.9624	1.726	426
accentuation	0.9114	1.324	395
accept	0.9946	2.313	369
acceptability	0.9882	2.127	423
acceptable	0.9952	2.336	418
acceptableness	0.8192	0.900	426
acceptably	0.9714	1.835	420
acceptance	0.9877	2.117	408
acceptant	0.8356	0.963	365
acceptation	0.5441	0.110	397
accepted	1.0000	2.576	389
accepter	0.7687	0.726	454
acceptor	0.8029	0.841	416
access	0.9976	2.439	419
accessary	0.7299	0.606	137
accessibility	0.9922	2.234	384
accessible	0.9976	2.438	415
accessibly	0.9390	1.511	377
accession	0.8864	1.188	396
accessional	0.5396	0.099	391
accessorial	0.6824	0.469	381
accessorily	0.4685	-0.078	254
accessorize	0.9898	2.169	394
accessory	0.9920	2.229	375
accidence	0.4000	-0.251	365
accident	0.9977	2.444	438
accidental	0.9948	2.322	388
accidentally	0.9903	2.182	414
accidentalness	0.5067	0.017	225
accidently	0.9599	1.699	424
accipiter	0.1726	-0.931	365
acclaim	0.9805	1.973	411
acclaimer	0.8474	1.011	426
acclamation	0.9206	1.381	403
acclamatory	0.7023	0.525	383
acclimate	0.9259	1.416	405
acclimation	0.8564	1.049	411
acclimatization	0.8840	1.176	388
acclimatize	0.8227	0.913	406
acclivitous	0.1585	-0.987	429
acclivity	0.3911	-0.274	427
accolade	0.9457	1.565	405
accommodate	0.9921	2.232	380
accommodating	0.9923	2.237	388
accommodatingly	0.8680	1.100	356
accommodation	0.9976	2.436	409
accommodative	0.8619	1.073	391
accommodativeness	0.6795	0.461	234
accommodator	0.9200	1.377	350
accompanier	0.7240	0.588	366
accompaniment	0.9664	1.772	417
accompanist	0.9061	1.293	394
accompany	1.0000	2.576	364
accomplice	0.9897	2.165	388
accomplish	0.9903	2.180	412
accomplishable	0.9099	1.316	433
accomplished	0.9924	2.240	394
accomplisher	0.8832	1.172	411
accomplishment	0.9977	2.441	427
accord	0.9847	2.050	391
accordable	0.7249	0.591	418
accordance	0.9876	2.113	403
accordant	0.8743	1.129	374
accordantly	0.6183	0.298	241
accorder	0.5165	0.041	424
according	1.0000	2.576	379
accordingly	0.9948	2.321	384
accordion	0.9756	1.893	451
accordionist	0.8935	1.224	413
accost	0.9294	1.441	411
accosted	0.9464	1.571	392
accouchement	0.4356	-0.161	388
account	0.9951	2.331	407
accountability	0.9901	2.175	403
accountable	1.0000	2.576	411
accountableness	0.6452	0.369	389
accountably	0.8884	1.198	224
accountancy	0.8639	1.081	404
accountant	0.9953	2.339	425
