word	pknown	prevalence	nobs
buddleia	0.2374	-0.706	396
buddy	1.0000	2.576	473
budge	0.9906	2.188	425
budgerigar	0.3502	-0.381	414
budget	0.9974	2.430	389
budgetary	0.8923	1.218	390
budgeter	0.8390	0.977	441
budgie	0.7018	0.524	379
budlike	0.7032	0.528	401
budworm	0.4061	-0.235	426
buff	0.9928	2.253	417
buffalo	0.9949	2.326	396
buffed	0.9765	1.907	383
buffer	0.9895	2.160	381
buffet	0.9948	2.322	386
buffeter	0.6557	0.396	424
buffing	0.9556	1.655	383
bufflehead	0.2341	-0.717	393
buffo	0.1851	-0.884	443
buffoon	0.9698	1.813	430
buffoonery	0.9347	1.478	444
buffoonish	0.9010	1.265	384
buffy	0.7532	0.676	158
bug	0.9932	2.267	444
bugaboo	0.7530	0.676	328
bugbane	0.2415	-0.693	381
bugbear	0.6454	0.369	392
bugger	0.9735	1.864	378
buggery	0.8846	1.179	364
buggy	0.9834	2.024	421
bughouse	0.6544	0.393	353
bugle	0.9249	1.409	386
bugled	0.7632	0.708	380
bugler	0.7589	0.694	365
bugleweed	0.3777	-0.308	376
bugloss	0.0945	-1.290	402
build	1.0000	2.576	375
buildable	0.9632	1.735	435
builder	0.9977	2.444	439
building	1.0000	2.576	392
buildup	0.9657	1.763	437
built	0.9973	2.424	371
bulb	0.9878	2.118	410
bulbar	0.3048	-0.505	397
bulbiferous	0.4494	-0.126	405
bulblike	0.6253	0.316	427
bulbous	0.9375	1.499	416
bulbul	0.1225	-1.144	400
bulge	0.9904	2.184	417
bulginess	0.7225	0.584	400
bulgur	0.6172	0.295	431
bulgy	0.8095	0.865	420
bulimia	0.9404	1.522	386
bulimic	0.9277	1.428	401
bulk	0.9976	2.439	420
bulked	0.9697	1.812	396
bulker	0.5882	0.221	425
bulkhead	0.9317	1.457	410
bulkily	0.7108	0.550	249
bulkiness	0.9840	2.037	438
bulky	0.9974	2.431	391
bull	1.0000	2.576	359
bulla	0.1136	-1.188	396
bullbat	0.2118	-0.790	406
bullboat	0.2990	-0.522	388
bulldog	0.9947	2.319	380
bulldogged	0.8119	0.873	420
bulldoze	0.9905	2.185	420
bulldozer	1.0000	2.576	384
bullet	1.0000	2.576	380
bulleted	0.9211	1.384	418
bulletin	0.9954	2.342	432
bulletproof	0.9873	2.108	395
bullfight	0.9853	2.062	407
bullfighter	0.9918	2.222	365
bullfighting	0.9887	2.139	441
bullfinch	0.7707	0.732	423
bullfrog	1.0000	2.576	438
bullhead	0.9041	1.282	386
bullheaded	0.9633	1.736	409
bullheadedness	0.9237	1.401	262
bullhorn	0.9589	1.688	462
bulling	0.6192	0.300	428
bullion	0.8995	1.256	418
bullish	0.9518	1.619	436
bullishly	0.8761	1.137	234
bullishness	0.8706	1.112	255
bullmastiff	0.8040	0.845	449
bullock	0.9437	1.549	391
bullous	0.3960	-0.261	149
bullpen	0.8863	1.187	475
bullring	0.8695	1.107	406
bullseye	0.9879	2.120	413
bullshit	0.9855	2.068	415
bullwhacker	0.6130	0.284	416
bullwhip	0.9451	1.560	419
bully	0.9948	2.322	388
bullyboy	0.6199	0.302	413
bullying	0.9947	2.316	375
bullyrag	0.2727	-0.598	363
bullyragging	0.3154	-0.475	390
bulrush	0.5229	0.057	415
bulwark	0.7399	0.636	396
bum	0.9951	2.332	409
bumbershoot	0.3878	-0.282	361
bumble	0.9792	1.950	385
bumblebee	0.9910	2.200	444
bumbler	0.8741	1.128	413
bumboat	0.1688	-0.946	385
bumboatman	0.0940	-1.293	383
bumf	0.1563	-0.995	371
bummed	0.9883	2.131	429
bummer	0.9859	2.077	427
bumming	0.9350	1.480	446
bump	0.9976	2.437	411
bumper	0.9825	2.008	343
bumpily	0.8009	0.834	226
bumpiness	0.9556	1.655	428
bumping	0.9954	2.342	431
bumpkin	0.8776	1.144	392
bumptious	0.4949	-0.013	396
bumptiously	0.3514	-0.378	259
bumptiousness	0.3982	-0.255	437
bumpy	0.9975	2.432	395
bun	0.9947	2.318	378
bunch	0.9976	2.440	423
bunchberry	0.2644	-0.623	416
bunchflower	0.2551	-0.651	392
bunchy	0.7277	0.599	393
buncombe	0.1644	-0.963	444
bund	0.3686	-0.332	369
bundestag	0.2545	-0.653	389
bundle	0.9893	2.156	375
bundler	0.8515	1.028	431
bung	0.7816	0.768	412
bungalow	0.9833	2.024	420
bungee	0.9866	2.091	373
bunghole	0.8447	1.000	367
bungle	0.9013	1.266	446
bungler	0.7890	0.793	417
bungling	0.8571	1.052	371
bunglingly	0.4529	-0.117	393
bunion	0.9244	1.406	397
bunk	0.9872	2.105	391
bunkbed	0.9684	1.796	412
bunker	0.9945	2.310	363
bunkhouse	0.8844	1.178	398
bunkmate	0.9256	1.414	390
bunko	0.4031	-0.243	387
bunkum	0.3778	-0.308	397
bunny	0.9972	2.421	362
bunt	0.8010	0.834	412
bunted	0.8000	0.831	425
bunter	0.6651	0.422	439
bunting	0.9518	1.619	415
buntline	0.3397	-0.409	418
bunya	0.0790	-1.384	405
buoy	0.9495	1.598	396
buoyancy	0.9773	1.919	396
buoyant	0.9687	1.799	415
buoyantly	0.8811	1.162	429
bupivacaine	0.0870	-1.334	161
buprestid	0.0329	-1.779	395
bupropion	0.1923	-0.858	130
bur	0.5401	0.100	374
burble	0.5782	0.195	403
burden	0.9929	2.256	422
burdensome	0.9621	1.722	422
burdensomely	0.5787	0.197	235
burdensomeness	0.6594	0.406	367
burdock	0.5961	0.241	359
bureau	0.9901	2.176	405
bureaucracy	0.9854	2.065	411
bureaucrat	0.9711	1.830	380
bureaucratic	0.9864	2.086	441
bureaucratically	0.9489	1.593	352
bureaucratization	0.8558	1.046	416
bureaucratize	0.8243	0.919	404
burette	0.4144	-0.214	374
burg	0.6175	0.296	400
burgee	0.2232	-0.752	439
burgeon	0.8338	0.956	373
burgeoning	0.9072	1.300	431
burger	0.9925	2.243	398
burgess	0.7929	0.806	396
burgh	0.5424	0.105	389
burgher	0.3641	-0.344	401
burglar	0.9824	2.006	398
burglarious	0.2774	-0.584	429
burglarize	0.9223	1.392	386
burglarproof	0.8531	1.035	422
burglary	0.9946	2.312	368
burgle	0.7483	0.661	437
burgomaster	0.2132	-0.786	394
burgonet	0.2761	-0.588	402
burgoo	0.1563	-0.995	371
burgundy	0.9781	1.932	411
burial	0.9955	2.347	444
buried	0.9977	2.441	426
burier	0.5533	0.133	403
burin	0.1170	-1.171	376
burka	0.8762	1.138	404
burke	0.4595	-0.101	370
burl	0.5818	0.204	373
burlap	0.8943	1.228	369
burled	0.5853	0.213	381
burlesque	0.9763	1.904	338
burlesquer	0.5623	0.155	377
burley	0.7418	0.642	368
burliness	0.9083	1.306	240
burly	0.9609	1.709	358
burn	0.9945	2.310	363
burnable	0.9403	1.521	385
burned	1.0000	2.576	418
burner	1.0000	2.576	420
burnet	0.3557	-0.366	357
burning	0.9976	2.436	409
burningly	0.7683	0.724	397
burnish	0.8067	0.855	388
burnishing	0.8679	1.100	371
burnoose	0.2468	-0.677	385
burnout	0.9954	2.345	439
burnsides	0.5761	0.190	368
burnt	0.9924	2.242	397
burp	0.9905	2.186	421
burr	0.8620	1.073	413
burred	0.7294	0.604	377
burring	0.5929	0.233	366
burrito	0.9906	2.190	427
burro	0.6912	0.494	353
burrow	0.9953	2.341	429
burrower	0.9268	1.422	396
burry	0.4245	-0.188	424
bursa	0.4858	-0.035	387
bursar	0.6857	0.479	385
bursarial	0.4425	-0.143	391
bursarship	0.4696	-0.076	411
bursary	0.6380	0.349	384
burse	0.4429	-0.142	420
bursitis	0.6004	0.252	448
burst	0.9902	2.179	409
burthen	0.1957	-0.846	414
bury	0.9695	1.810	394
burying	0.9797	1.958	443
bus	0.9919	2.227	372
busboy	0.9361	1.489	407
busby	0.4266	-0.183	143
bush	0.9945	2.309	361
bushbuck	0.3248	-0.449	391
bushed	0.9543	1.643	372
bushel	0.9313	1.454	422
bushfire	0.9225	1.393	387
bushido	0.3924	-0.270	395
bushiness	0.7992	0.828	244
bushing	0.7578	0.691	417
bushman	0.9406	1.523	387
bushmaster	0.7715	0.735	372
bushranger	0.5540	0.134	417
bushwhack	0.9089	1.309	417
bushwhacker	0.9306	1.448	360
bushwhacking	0.9393	1.513	428
bushy	0.9819	1.997	387
busied	0.9136	1.338	440
busily	0.9787	1.941	375
business	0.9974	2.429	384
businesslike	0.9562	1.661	411
businessman	0.9851	2.059	403
businesspeople	0.7605	0.700	405
businessperson	0.8801	1.157	392
businesswoman	0.9677	1.787	403
busk	0.6529	0.389	435
busker	0.6521	0.387	388
buskin	0.3372	-0.416	430
buskined	0.1618	-0.973	445
busload	0.9263	1.419	407
busman	0.7403	0.637	385
buss	0.5039	0.010	389
bust	1.0000	2.576	350
bustard	0.3482	-0.386	382
busted	0.9876	2.114	404
buster	0.9551	1.651	379
bustle	0.9601	1.701	426
bustled	0.9593	1.692	393
bustling	0.9780	1.930	409
bustlingly	0.5916	0.229	262
busty	0.9800	1.963	400
busy	0.9906	2.188	424
busybody	0.9818	1.995	385
busying	0.8846	1.179	390
busyness	0.6163	0.293	417
busywork	0.8420	0.989	386
but	0.9949	2.326	396
butadiene	0.1635	-0.967	422
butane	0.9415	1.530	410
butanone	0.2357	-0.712	454
butch	0.9888	2.143	447
butcher	0.9875	2.112	401
butcherbird	0.3252	-0.448	409
butchering	0.9932	2.264	438
butcherly	0.5229	0.057	350
butchery	0.9741	1.871	424
butler	0.9870	2.100	385
butlership	0.5529	0.132	425
butlery	0.6952	0.505	374
butt	0.9849	2.055	397
butte	0.7366	0.626	372
butter	1.0000	2.576	430
butterball	0.9286	1.435	406
butterbean	0.8793	1.153	381
butterbur	0.2057	-0.811	384
buttercream	0.9695	1.810	394
buttercup	0.9933	2.269	448
buttered	0.9929	2.255	420
butterfat	0.7971	0.821	419
butterfingered	0.9348	1.479	399
butterfingers	0.9727	1.852	403
butterfish	0.6547	0.394	417
butterfly	0.9927	2.249	409
buttermilk	0.9897	2.165	388
butternut	0.9791	1.949	431
butterscotch	0.9928	2.253	417
butterweed	0.5426	0.106	411
butterwort	0.4949	-0.013	392
buttery	0.9924	2.240	394
butthead	0.9295	1.441	383
butthole	0.9460	1.568	389
butting	0.9528	1.629	424
buttock	0.9865	2.089	371
buttocks	0.9974	2.428	382
button	0.9975	2.432	394
buttonball	0.3808	-0.300	428
buttonbush	0.2438	-0.686	443
buttoned	0.9799	1.963	399
buttoner	0.7405	0.637	393
buttonhole	0.9688	1.800	384
buttonholer	0.7390	0.633	364
buttonhook	0.8140	0.881	387
buttons	0.9975	2.433	397
buttonwood	0.4109	-0.223	404
buttress	0.9159	1.351	416
butty	0.4593	-0.101	405
butyl	0.5112	0.028	403
butyrate	0.2703	-0.605	418
butyric	0.2689	-0.609	424
buxom	0.8504	1.023	401
buxomly	0.6920	0.496	263
buxomness	0.7500	0.667	260
buy	0.9919	2.225	369
buyable	0.9167	1.356	432
buyer	0.9926	2.247	405
buyout	0.9415	1.530	410
buzz	0.9975	2.434	401
buzzard	0.9880	2.124	418
buzzer	0.9851	2.059	403
buzzing	1.0000	2.576	412
buzzword	0.9564	1.663	367
bwana	0.2034	-0.819	413
by	0.9901	2.175	403
bye	0.9974	2.428	383
bygone	0.9782	1.933	412
bylaw	0.9466	1.573	412
byline	0.8897	1.204	417
byname	0.4177	-0.206	407
bypass	0.9904	2.184	418
bypath	0.5532	0.133	432
byplay	0.5187	0.046	401
byproduct	0.9497	1.600	398
byre	0.3945	-0.265	436
byroad	0.6611	0.411	360
bystander	0.9872	2.105	391
bystreet	0.6506	0.383	395
byte	0.9605	1.705	405
byway	0.8858	1.185	429
byword	0.7488	0.663	406
byzantine	0.8951	1.233	410
c	0.2806	-0.574	253
ca	0.1398	-1.065	236
cab	0.9950	2.329	401
cabal	0.6492	0.379	439
cabala	0.4646	-0.088	396
cabaletta	0.1995	-0.833	366
cabalism	0.5385	0.096	429
cabalist	0.5721	0.180	409
cabalistic	0.6309	0.331	401
caballero	0.7070	0.539	157
cabana	0.8709	1.113	395
cabaret	0.9574	1.673	399
cabbage	1.0000	2.576	391
cabbie	0.9231	1.397	416
cabby	0.8855	1.183	393
cabdriver	0.8729	1.123	425
caber	0.4145	-0.214	386
cabernet	0.8808	1.160	411
cabin	0.9976	2.440	424
cabinet	0.9974	2.429	385
cabinetmaker	0.9134	1.336	404
cabinetmaking	0.7714	0.735	280
cabinetry	0.8840	1.176	431
cabinetwork	0.7441	0.649	383
cable	0.9951	2.331	407
cabled	0.9516	1.617	434
cablegram	0.5840	0.210	399
cableway	0.7014	0.523	355
cabling	0.8387	0.975	434
cabman	0.5857	0.214	420
cabob	0.3482	-0.386	382
cabochon	0.2430	-0.689	391
caboodle	0.8413	0.986	416
caboose	0.9199	1.377	412
cabriole	0.5235	0.058	468
cabriolet	0.6863	0.480	408
cabstand	0.5791	0.198	354
cacao	0.8139	0.881	403
cachalot	0.1169	-1.171	419
cache	0.9767	1.911	387
cachectic	0.2099	-0.797	162
cachepot	0.4444	-0.138	441
cachet	0.8596	1.063	399
cachexia	0.1757	-0.919	148
cachinnate	0.1109	-1.202	451
cachinnation	0.1185	-1.164	422
cachou	0.1714	-0.936	420
cachucha	0.1196	-1.158	393
cacique	0.2446	-0.684	413
cack	0.3379	-0.414	367
cackle	0.9659	1.766	411
cackler	0.8561	1.047	417
cacodemon	0.1754	-0.921	382
cacoethes	0.0758	-1.405	396
cacogenic	0.2974	-0.526	417
cacogenics	0.2264	-0.742	371
cacographic	0.2222	-0.755	405
cacography	0.2981	-0.524	426
cacomistle	0.0297	-1.820	404
cacophonic	0.7769	0.753	381
cacophonous	0.7799	0.762	418
cacophonously	0.7577	0.691	227
cacophony	0.8227	0.913	406
cacti	0.9469	1.576	358
cactus	0.9929	2.258	425
cacuminal	0.0885	-1.325	384
cad	0.8329	0.953	419
cadastral	0.1327	-1.097	422
cadastre	0.0979	-1.271	419
cadaver	0.9284	1.433	391
cadaveric	0.5080	0.020	374
cadaverous	0.8609	1.068	381
cadaverously	0.6733	0.444	251
cadaverousness	0.6154	0.290	234
caddice	0.2565	-0.647	425
caddie	0.9300	1.444	414
caddis	0.2206	-0.761	417
caddish	0.7002	0.519	417
caddishly	0.6763	0.453	241
caddishness	0.6787	0.459	221
caddy	0.9880	2.122	415
cade	0.3394	-0.410	165
cadence	0.9231	1.397	351
cadenced	0.8212	0.908	386
cadency	0.7391	0.633	414
cadent	0.5740	0.185	385
cadenza	0.6675	0.428	400
cadet	0.9793	1.951	386
cadetship	0.6886	0.487	456
cadge	0.5297	0.074	404
cadger	0.4014	-0.247	426
cadherin	0.0584	-1.532	137
cadillac	0.9643	1.747	420
cadmic	0.1291	-1.113	426
cadmium	0.8182	0.896	418
cadre	0.7519	0.673	387
caducean	0.2836	-0.566	402
caduceus	0.3538	-0.371	390
caducity	0.1504	-1.020	419
caecilian	0.2574	-0.644	404
caesarean	0.8931	1.222	421
caesarian	0.9425	1.539	400
caesura	0.3083	-0.495	360
caesural	0.2284	-0.735	359
cafe	0.9933	2.268	446
cafeteria	0.9923	2.239	392
caffeine	0.9884	2.132	430
caftan	0.6138	0.286	391
cage	1.0000	2.576	425
caged	0.9952	2.335	415
cageling	0.4926	-0.018	406
cagey	0.8731	1.123	394
cagily	0.5736	0.184	387
caginess	0.8363	0.966	397
cagoule	0.2813	-0.572	423
cahier	0.1749	-0.922	383
cahoots	0.9286	1.435	378
caiman	0.4005	-0.249	397
cairn	0.6690	0.433	420
cairned	0.4048	-0.238	373
cairngorm	0.2342	-0.716	380
caisson	0.3688	-0.332	404
caitiff	0.1575	-0.991	419
cajole	0.8739	1.127	436
cajolement	0.6801	0.463	397
cajoler	0.7764	0.751	407
cajolery	0.6753	0.450	388
cajoling	0.8862	1.187	378
cajolingly	0.7565	0.687	382
cajuput	0.0634	-1.493	363
cake	0.9952	2.337	419
cakehole	0.6450	0.368	400
cakewalk	0.9061	1.293	394
cakewalker	0.6667	0.426	402
cakey	0.6915	0.495	389
cal	0.3686	-0.332	369
calabash	0.5576	0.143	443
calaboose	0.2810	-0.573	427
caladium	0.4716	-0.071	422
calamanco	0.0759	-1.404	395
calamari	0.9549	1.648	443
calamine	0.8043	0.846	419
calamite	0.6005	0.252	398
calamites	0.6880	0.485	375
calamitous	0.8529	1.034	401
calamitously	0.8241	0.919	381
calamity	0.9828	2.014	349
calash	0.1205	-1.154	390
calcaneal	0.1687	-0.946	166
calcaneus	0.2778	-0.583	162
calcareous	0.3671	-0.336	346
calcareousness	0.1786	-0.909	224
calceolaria	0.1578	-0.990	412
calcic	0.3810	-0.300	168
calciferous	0.7798	0.762	377
calcific	0.6634	0.417	101
calcification	0.9400	1.519	350
calcified	0.9526	1.627	401
calcify	0.9257	1.415	417
calcimine	0.3603	-0.354	383
calciminer	0.1385	-1.071	455
calcination	0.5725	0.181	138
calcinatory	0.3510	-0.379	396
calcine	0.4220	-0.195	436
calcite	0.7410	0.639	390
calcitonin	0.4184	-0.204	141
calcium	0.9976	2.439	419
calculability	0.8942	1.228	378
calculable	0.9728	1.853	367
calculate	1.0000	2.576	371
calculated	0.9925	2.245	402
calculatedly	0.8405	0.983	370
calculating	0.9943	2.304	353
calculatingly	0.8814	1.163	388
calculation	0.9975	2.435	404
calculative	0.9316	1.456	395
calculator	1.0000	2.576	455
calculi	0.6649	0.421	370
calculus	0.9859	2.077	427
caldarium	0.3971	-0.258	418
caldera	0.6036	0.260	386
caldron	0.7924	0.805	395
calefaction	0.3031	-0.510	386
calefactive	0.1244	-1.135	410
calefactory	0.1856	-0.883	388
calendar	1.0000	2.576	441
calender	0.8892	1.202	388
calenderer	0.2243	-0.749	428
calendrical	0.5089	0.022	395
calends	0.1280	-1.118	422
calendula	0.4774	-0.056	354
calenture	0.1321	-1.099	439
calescence	0.2460	-0.679	378
calescent	0.2420	-0.692	376
calf	0.9930	2.260	430
calfskin	0.8883	1.198	403
caliber	0.9816	1.992	435
calibrate	0.9886	2.137	350
calibration	0.9883	2.131	429
calibrator	0.9856	2.070	348
calices	0.3938	-0.267	419
caliche	0.2206	-0.761	136
calicle	0.2506	-0.665	423
calico	0.9201	1.378	413
californium	0.4703	-0.074	387
caliginous	0.3454	-0.394	388
calipash	0.0749	-1.411	414
calipee	0.1603	-0.979	418
caliper	0.8730	1.123	370
calipers	0.8589	1.059	418
caliph	0.6086	0.273	396
caliphate	0.5870	0.218	385
calisthenics	0.8473	1.010	393
calk	0.5352	0.087	426
calking	0.5896	0.224	385
call	0.9977	2.444	439
calla	0.2743	-0.593	401
callable	0.4631	-0.092	434
callback	0.9600	1.700	425
callboy	0.7479	0.660	365
caller	0.9949	2.324	392
calligrapher	0.9713	1.833	453
calligraphic	0.9071	1.299	409
calligraphically	0.8325	0.951	400
calligraphist	0.9158	1.351	380
calligraphy	0.9894	2.156	376
calling	0.9974	2.430	387
calliope	0.6318	0.333	402
calliopsis	0.4216	-0.196	389
callipygian	0.2259	-0.743	394
callistemon	0.1095	-1.209	402
callosity	0.3753	-0.314	381
callosum	0.2781	-0.582	392
callous	0.9855	2.068	415
callously	0.9715	1.836	386
callousness	0.9776	1.923	401
callow	0.8005	0.833	391
callowness	0.7724	0.738	413
callus	0.8513	1.027	390
calm	0.9975	2.436	407
calmative	0.6154	0.290	351
calmer	0.9754	1.891	407
calmingly	0.9256	1.414	242
calmly	0.9950	2.328	399
calmness	0.9880	2.122	416
calomel	0.1233	-1.140	373
caloric	0.8937	1.225	395
caloricity	0.3744	-0.317	390
calorie	0.9877	2.116	406
calorific	0.6934	0.500	424
calorimeter	0.6878	0.484	394
calorimetric	0.6705	0.436	352
calorimetrical	0.5304	0.075	362
calorimetrically	0.5736	0.184	265
calotte	0.1820	-0.896	412
caltrop	0.3207	-0.461	368
calumet	0.4606	-0.098	432
calumniate	0.3952	-0.263	372
calumniation	0.3014	-0.515	428
calumniator	0.2660	-0.618	391
calumnious	0.4525	-0.118	400
calumniously	0.4208	-0.198	240
calumny	0.3756	-0.314	434
calvados	0.4145	-0.214	415
calve	0.7748	0.746	413
calved	0.8507	1.025	402
calves	0.9975	2.432	396
calyces	0.1717	-0.934	361
calycle	0.0826	-1.361	448
calypso	0.9525	1.626	379
calyptrate	0.1886	-0.872	403
calyx	0.4142	-0.215	408
calzone	0.9217	1.389	345
cam	0.7995	0.829	439
camaraderie	0.9248	1.409	412
camarilla	0.2423	-0.691	392
camass	0.0610	-1.511	377
camber	0.5512	0.127	381
cambial	0.2022	-0.823	371
cambium	0.3536	-0.372	427
cambric	0.5141	0.035	389
camcorder	0.9924	2.240	394
came	0.9974	2.428	383
camel	0.9973	2.426	376
camelback	0.8667	1.094	405
cameleer	0.1073	-1.220	382
camellia	0.6446	0.367	408
camelopard	0.1625	-0.971	400
camembert	0.6179	0.297	403
cameo	0.9897	2.165	389
camera	1.0000	2.576	390
cameral	0.3211	-0.460	408
cameraman	0.9784	1.936	416
camerawork	0.8525	1.032	400
camion	0.1766	-0.916	419
camisole	0.8928	1.220	373
camlet	0.2405	-0.696	395
camorra	0.1450	-1.043	407
camorrist	0.0487	-1.615	267
camouflage	0.9906	2.189	426
camp	0.9976	2.436	409
campaign	0.9976	2.441	425
campaigner	0.9736	1.864	416
campanile	0.4026	-0.244	390
campanological	0.3060	-0.502	402
campanologist	0.4057	-0.236	350
campanology	0.3447	-0.396	441
campanula	0.3027	-0.511	403
camper	0.9974	2.427	378
campestral	0.2019	-0.824	416
campfire	0.9928	2.254	418
campground	0.9658	1.764	409
camphene	0.1432	-1.050	398
camphol	0.3119	-0.485	404
camphor	0.7135	0.557	349
camphorate	0.3536	-0.372	379
camphoric	0.5306	0.076	392
camphorwood	0.5000	0.000	442
camping	0.9950	2.329	402
campo	0.2937	-0.537	378
campout	0.7744	0.744	430
campsite	0.9809	1.978	470
campstool	0.6624	0.415	394
campus	0.9950	2.327	397
campy	0.8047	0.847	384
campylobacter	0.2518	-0.661	417
camshaft	0.7049	0.533	410
can	0.9912	2.206	342
canaille	0.1547	-1.002	375
canal	0.9902	2.177	407
canaliculated	0.1528	-1.010	386
canalization	0.6156	0.291	385
canalize	0.5000	0.000	388
canalling	0.5050	0.012	400
canape	0.7829	0.773	387
canard	0.6247	0.315	429
canary	0.9880	2.124	418
canasta	0.7179	0.570	390
cancan	0.7069	0.538	406
cancel	1.0000	2.576	391
cancelable	0.7902	0.797	386
cancelation	0.9425	1.539	400
cancellation	0.9954	2.344	436
canceller	0.6545	0.393	385
cancer	1.0000	2.576	412
cancerous	0.9933	2.270	449
cancerously	0.6920	0.496	237
candela	0.4803	-0.049	381
candelabra	0.9433	1.546	406
candelabrum	0.7232	0.586	383
candent	0.2548	-0.652	361
candescence	0.8284	0.935	373
candescent	0.8005	0.833	391
candid	0.9925	2.243	399
candidacy	0.9520	1.621	375
candidate	0.9976	2.439	418
candidateship	0.7684	0.725	380
candidature	0.5625	0.156	384
candidly	0.9735	1.863	415
candidness	0.9335	1.470	391
candied	0.9322	1.460	398
candle	0.9951	2.333	410
candleberry	0.4047	-0.239	341
candlefish	0.5041	0.010	369
candleholder	0.9686	1.798	382
candlelight	0.9862	2.083	363
candlelit	0.9632	1.734	462
candlenut	0.2712	-0.602	424
candlepin	0.4024	-0.245	415
candlepower	0.7129	0.556	418
candlestick	0.9973	2.426	377
candlewick	0.9476	1.582	401
candlewood	0.8317	0.948	410
candor	0.9171	1.359	422
candy	0.9926	2.246	404
candyfloss	0.6780	0.457	382
candytuft	0.2727	-0.598	363
cane	0.9950	2.327	398
canebrake	0.2178	-0.770	427
canella	0.3985	-0.255	389
caner	0.5000	0.000	374
canfield	0.2577	-0.643	423
cangue	0.0829	-1.359	374
canine	0.9926	2.248	407
canister	0.9668	1.776	392
canker	0.8699	1.109	369
cankered	0.7678	0.723	435
cankerous	0.8368	0.968	386
cankerworm	0.4641	-0.089	418
canna	0.2388	-0.702	402
cannabis	0.9769	1.913	390
canned	0.9973	2.422	364
cannel	0.2970	-0.527	394
cannelloni	0.7549	0.682	408
canner	0.7318	0.611	425
cannery	0.8560	1.047	389
cannibal	0.9946	2.314	371
cannibalism	0.9975	2.434	403
cannibalistic	0.9846	2.049	390
cannibalistically	0.8962	1.239	395
cannibalization	0.9696	1.811	395
cannibalize	0.9629	1.731	404
cannikin	0.0789	-1.384	418
cannily	0.7579	0.691	380
canniness	0.8011	0.835	367
canning	0.9559	1.658	408
cannon	0.9904	2.184	417
cannonade	0.5718	0.179	362
cannonball	0.9848	2.053	395
cannoned	0.7908	0.799	392
cannonry	0.5266	0.066	376
cannot	0.9876	2.113	403
cannula	0.5102	0.025	147
canny	0.9381	1.504	420
canoe	0.9858	2.074	423
canoeing	0.9834	2.024	421
canoeist	0.7606	0.700	401
canola	0.8670	1.095	421
canon	0.9651	1.756	458
canoness	0.3896	-0.277	444
canonic	0.7026	0.526	390
canonical	0.7380	0.630	416
canonically	0.7262	0.594	409
canonicals	0.5130	0.032	347
canonicate	0.2861	-0.559	367
canonicity	0.4861	-0.035	395
canonist	0.7149	0.562	442
canonistic	0.7519	0.672	403
canonization	0.8954	1.234	392
canonize	0.9052	1.288	422
canonry	0.5239	0.059	418
canonship	0.5569	0.142	343
canoodle	0.8272	0.930	405
canopener	0.6519	0.386	339
canopy	0.9885	2.134	434
canorous	0.2365	-0.709	427
canorousness	0.0945	-1.290	254
cant	0.7824	0.771	386
cantabile	0.3588	-0.358	379
cantaloupe	0.9762	1.902	378
cantankerous	0.9167	1.356	432
cantankerously	0.8987	1.252	237
cantankerousness	0.9046	1.285	367
cantata	0.5447	0.111	358
canted	0.6702	0.436	379
canteen	1.0000	2.576	380
canter	0.9262	1.418	420
cantharides	0.1755	-0.920	359
cantharis	0.2038	-0.818	417
canthus	0.1879	-0.874	165
canticle	0.5678	0.169	391
cantilena	0.1663	-0.956	475
cantilever	0.7672	0.721	378
cantilevered	0.7246	0.590	374
cantina	0.8422	0.990	431
canting	0.6881	0.485	420
cantle	0.3042	-0.507	401
canto	0.4624	-0.094	372
canton	0.7187	0.573	384
cantonal	0.3350	-0.422	400
cantoned	0.3990	-0.253	411
cantonment	0.3168	-0.471	404
cantor	0.8857	1.184	385
cantus	0.2574	-0.644	408
canty	0.2646	-0.622	412
canvas	0.9924	2.240	394
canvasback	0.5341	0.085	425
canvass	0.8552	1.043	359
canyon	0.9865	2.088	370
canzone	0.1540	-1.005	422
canzonet	0.1292	-1.113	418
cap	0.9951	2.333	411
capability	0.9920	2.229	376
capable	0.9975	2.433	398
capableness	0.7678	0.723	267
capably	0.9407	1.525	388
capacious	0.8218	0.910	376
capaciously	0.7944	0.811	248
capaciousness	0.7743	0.744	452
capacitance	0.5044	0.011	452
capacitate	0.9185	1.368	417
capacitive	0.6633	0.417	395
capacitor	0.9100	1.316	389
capacity	0.9976	2.439	419
caparison	0.2385	-0.703	390
cape	1.0000	2.576	415
caped	0.9481	1.586	405
capelin	0.1976	-0.839	420
caper	0.9682	1.793	440
caperer	0.5000	-0.000	368
capering	0.8019	0.838	414
capes	0.9566	1.665	415
capeskin	0.3183	-0.467	355
capful	0.8222	0.912	405
capillaceous	0.4761	-0.059	376
capillarity	0.5398	0.099	402
capillary	0.9808	1.977	417
capital	0.9903	2.181	413
capitalism	0.9976	2.437	413
capitalist	0.9974	2.431	390
capitalistic	0.9551	1.651	379
capitalistically	0.7507	0.669	381
capitalization	0.9952	2.335	416
capitalize	0.9921	2.232	380
capitally	0.7995	0.829	424
capitation	0.7547	0.681	375
capitol	0.9382	1.505	421
capitulary	0.7824	0.771	386
capitulate	0.9381	1.504	404
capitulation	0.9259	1.416	351
capitulator	0.8238	0.918	437
capitulatory	0.9138	1.339	406
caplet	0.7682	0.724	371
capo	0.5115	0.029	174
capon	0.6642	0.420	411
caponize	0.2362	-0.710	436
