family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
ass,5k-b,4992,1,5.354,0.9933,,,0,n,asses,,
pants,5k-b,4934,2,4.769,0.9951,A2,,0,n,,,
papa,5k-b,4971,3,4.629,0.9812,,,0,n,papas|poppa|poppas,,
terrific,5k-b,4818,4,4.622,0.9976,C1,,0,adj,terrifically,,
butt,5k-b,4710,5,4.586,0.9849,,,0,n,butted|butting|butts,,
candy,5k-b,4986,6,4.553,0.9926,,,0,n,candied|candies|candying,,
radar,5k-b,4723,7,4.550,1.0000,C1,,0,n,radars,,
pizza,5k-b,4882,8,4.525,0.9923,,,0,n,pizzas,,
vacation,5k-b,4991,9,4.516,1.0000,A1,,0,n,vacationed|vacationer|vacationers|vacationing|vacations,,
demon,5k-b,4684,10,4.494,0.9953,C1,,0,n,demonic|demonically|demonise|demonised|demonises|demonising|demonize|demonized|demonizes|demonizing|demons|demoniac|demoniacal,,
pathetic,5k-b,4691,11,4.384,0.9905,,,0,adj,pathetically,,
wallet,5k-b,4825,12,4.358,1.0000,,,0,n,wallets,,
basketball,5k-b,4999,13,4.330,0.9974,A2,,0,n,basketballs,,
fabulous,5k-b,4548,14,4.312,0.9977,B2,,0,adj,fab|fabulously,,
purse,5k-b,4601,15,4.296,0.9929,,,0,n,purses,,
bout,5k-b,4829,16,4.281,0.9304,,,0,n,bouts,,
cowboy,5k-b,4968,17,4.278,0.9975,,,0,n,cowboys,,
mall,5k-b,4995,18,4.276,0.9928,B1,,0,n,malls,,
surveillance,5k-b,4659,19,4.271,0.9893,C1,,0,n,surveillances,,
coke,5k-b,4842,20,4.269,0.9903,,,0,n,coked|cokes|coking,,
ranch,5k-b,4997,21,4.244,0.9951,,,0,n,rancher|ranchers|ranched|ranches|ranching,,
liquor,5k-b,4910,22,4.238,0.9925,,,0,n,liquors,,
circus,5k-b,4629,23,4.232,0.9948,,,0,n,circuses,,
turtle,5k-b,4976,24,4.231,0.9974,,,0,n,turtles,,
sneak,5k-b,4797,25,4.227,0.9951,,,0,v,sneaked|sneaker|sneakers|sneakily|sneakiness|sneaking|sneaks|sneaky|snuck,,
nephew,5k-b,4547,26,4.220,0.9928,,,0,n,nephews,,
clown,5k-b,4911,27,4.199,0.9975,,,0,n,clowned|clowning|clownish|clownishly|clownishness|clowns,,
junk,5k-b,4846,28,4.187,0.9977,,,0,n,junkier|junkiest|junky,,
badge,5k-b,4573,29,4.183,0.9971,B2,,0,n,badges,,
shark,5k-b,4922,30,4.175,0.9976,,,0,n,sharks,,
testify,5k-b,4940,31,4.152,0.9976,C1,,0,v,testified|testifies|testifying|testifyings,,
lightning,5k-b,4549,32,4.150,0.9846,,,0,n,lightnings,,
dessert,5k-b,4984,33,4.147,0.9919,,,0,n,desserts,,
sweater,5k-b,4714,34,4.140,0.9951,A1,,0,n,sweaters,,
gum,5k-b,4877,35,4.127,0.9898,,,0,n,gummed|gumming|gummy|gums,,
stink,5k-b,4777,36,4.120,1.0000,,,0,v,stank|stinker|stinkers|stinking|stinks|stunk|stinky,,
cigar,5k-b,4834,37,4.112,0.9901,,,0,n,cigars,,
medication,5k-b,4903,38,4.107,0.9950,B2,,0,n,medicate|medicated|medicates|medicating|medications,,
beloved,5k-b,4662,39,4.106,0.9906,C1,,0,adj,,,
hawk,5k-b,4855,40,4.105,0.9841,,,0,name,hawkish|hawkishness|hawks,,
tub,5k-b,4951,41,4.103,0.9926,,,0,n,tubful|tubfuls|tubs,,
picnic,5k-b,4623,42,4.068,0.9951,,,0,n,picnicked|picnicking|picnics|picnicker|picnickers,,
hockey,5k-b,4884,43,4.062,1.0000,A2,,0,n,,,
