family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
sheriff,4k-b,3861,1,4.785,0.9869,,,0,n,sheriffs,,
attorney,4k-b,3799,2,4.606,0.9861,C1,,0,n,attorneys,,
bullet,4k-b,3745,3,4.582,1.0000,B2,,0,n,bullets,,
fake,4k-b,3976,4,4.560,1.0000,B2,,0,adj,faked|fakes|faking|faker|fakers,,
genius,4k-b,3878,5,4.541,0.9976,B2,,0,n,geniuses,,
jerk,4k-b,3726,6,4.520,1.0000,,,0,n,jerked|jerkily|jerkiness|jerking|jerks|jerky,,
senator,4k-b,3959,7,4.520,0.9951,C1,,0,n,senatorial|senators,,
aboard,4k-b,3949,8,4.425,0.9949,,,0,adv,,,
miracle,4k-b,3505,9,4.425,0.9928,C1,,0,n,miracles,,
mighty,4k-b,3806,10,4.424,1.0000,,,0,adj,mightier|mightiest|mightily,,
baseball,4k-b,3997,11,4.402,0.9921,A2,,0,n,baseballs,,
outfit,4k-b,3843,12,4.399,0.9848,B2,,0,n,outfits|outfitted|outfitter|outfitters|outfitting,,
beast,4k-b,3547,13,4.390,0.9932,C1,,0,n,beastie|beasties|beastly|beastliness|beasts,,
bride,4k-b,3593,14,4.384,0.9880,B1,,0,n,bridal|brides,,
couch,4k-b,3988,15,4.370,0.9848,,,0,n,couched|couches|couching,,
jungle,4k-b,3902,16,4.353,0.9977,,,0,n,jungles|jungly,,
miserable,4k-b,3613,17,4.332,0.9897,B2,,0,adj,miserably,,
skip,4k-b,3887,18,4.324,0.9977,C1,,0,v,skipped|skipping|skips,,
basement,4k-b,3975,19,4.323,0.9972,B2,,0,n,basements,,
spy,4k-b,3647,20,4.302,1.0000,C1,,0,n|v,counterspies|counterspy|spied|spies|spying,,
fever,4k-b,3576,21,4.300,0.9926,B2,,0,n,fevered|feverish|feverishly|fevers,,
cabin,4k-b,3715,22,4.293,0.9976,B2,,0,n,cabins,,
supper,4k-b,3567,23,4.287,1.0000,,,0,n,suppers,,
spit,4k-b,3659,24,4.287,0.9975,,,0,v,spat|spits|spitter|spitters|spitting,,
hug,4k-b,3879,25,4.286,0.9945,,,0,n,hugged|hugger|huggers|hugging|hugs,,
hop,4k-b,3773,26,4.282,1.0000,,,0,v,hopped|hopping|hops,,
laundry,4k-b,3936,27,4.280,0.9975,,,0,n,launder|laundered|launderer|launderers|launderette|launderettes|laundering|launders|laundrette|laundrettes|laundries|laundress|laundresses,,
tiger,4k-b,3677,28,4.268,0.9975,,,0,n,tigers|tigress|tigresses,,
curse,4k-b,3703,29,4.260,0.9931,,,0,n,cursed|curses|cursing,,
noon,4k-b,3986,30,4.258,1.0000,C1,,0,n,forenoon|forenoons|noons,,
wagon,4k-b,3853,31,4.249,0.9975,,,0,n,waggon|waggoner|waggoners|waggons|wagons,,
trauma,4k-b,3862,32,4.231,0.9976,C1,,0,n,traumas|traumatic|traumatically,,
alley,4k-b,3864,33,4.212,0.9905,,,0,n,alleys|alleyway|alleyways,,
buzz,4k-b,3824,34,4.203,0.9975,,,0,,buzzed|buzzer|buzzers|buzzes|buzzing|buzzy,,
torture,4k-b,3520,35,4.202,0.9974,C1,,0,n|v,tortured|torturer|torturers|tortures|torturing,,
helicopter,4k-b,3511,36,4.199,1.0000,B1,,0,n,helicoptered|helicoptering|helicopters,,
pearl,4k-b,3801,37,4.195,0.9949,,,0,name,pearlier|pearliest|pearls|pearly,,
belly,4k-b,3870,38,4.192,1.0000,,,0,n,bellied|bellies|bellying|bellyful,,
exit,4k-b,3515,39,4.192,0.9955,B2,,0,n|v,exited|exiting|exits,,
romance,4k-b,3873,40,4.191,0.9954,B2,,0,n,romances,,
patrol,4k-b,3514,41,4.191,0.9928,C1,,0,n|v,patrolled|patrolling|patrols,,
fort,4k-b,3778,42,4.188,0.9921,,,0,name,forts,,
patience,4k-b,3834,43,4.187,0.9974,B2,,0,n,,,
