family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
professor,3k-a,2289,1,4.842,0.9923,A2,,0,n,prof|professorial|professors|professorship|professorships|profs,,
cell,3k-a,2040,2,4.735,0.9931,B2,,0,n,celled|cells,,
emergency,3k-a,2480,3,4.735,0.9903,B1,,0,n,emergencies,,
client,3k-a,2072,4,4.726,0.9975,B1,,0,n,clients,,
code,3k-a,2165,5,4.725,0.9975,A2,,1,n,coded|codes|coding|uncoded,,
crew,3k-a,2494,6,4.677,0.9929,B2,,0,n,crewed|crewing|crews,,
target,3k-a,2085,7,4.579,1.0000,A2,,1,n|v,targeted|targeting|targets|targetted|targetting,,
secretary,3k-a,2014,8,4.521,0.9952,A2,,0,n,secretarial|secretaries|secretaryship,,
ally,3k-a,2471,9,4.514,0.9686,C1,,0,n,allied|allies|allying,,
patients,3k-a,2017,10,4.471,,,,0,n,,,
focus,3k-a,2103,11,4.468,0.9930,A2,,1,v|n,foci|focused|focuses|focusing|focussed|focusses|focussing|refocus|refocused|refocuses|refocusing|refocussed|refocusses|refocussing|unfocused|unfocussed,,
theory,3k-a,2018,12,4.456,0.9945,B1,,1,n,theories|theorist|theorists,,
source,3k-a,2021,13,4.450,0.9954,A2,,1,n,sourced|sources|sourcing|unsourced,,
joint,3k-a,2128,14,4.440,0.9921,B2,,0,adj|n,jointed|jointing|jointly|joints,,
pilot,3k-a,2417,15,4.426,0.9974,A2,,0,n,piloted|piloting|pilots,,
negative,3k-a,2341,16,4.409,1.0000,A1,,0,adj|n,negatively|negatives|negativism|negativity,,
data,3k-a,2011,17,4.408,0.9973,A2,,1,n,datum,,
request,3k-a,2162,18,4.407,0.9948,A2,,0,n|v,requested|requester|requesters|requesting|requests,,
audience,3k-a,2233,19,4.404,0.9975,A2,,0,n,audiences,,
universe,3k-a,2254,20,4.402,0.9949,B2,,0,n,universal|universalisation|universalise|universalised|universalises|universalising|universalism|universalist|universalistic|universalists|universality|universalization|universalize|universalized|universalizes|universalizing|universally|universals|universes,,
celebrate,3k-a,2229,21,4.395,0.9975,A2,,0,v,celebrated|celebrates|celebrating|celebration|celebrations|celebratory|uncelebrated,,
vision,3k-a,2384,22,4.378,0.9974,B2,,1,n,visionaries|visionary|visions,,
studio,3k-a,2146,23,4.368,0.9948,B1,,0,n,studios,,
silent,3k-a,2437,24,4.362,0.9931,B1,,0,adj,silently,,
violence,3k-a,2305,25,4.362,0.9920,B2,,0,n,nonviolence,,
armed,3k-a,2362,26,4.358,0.9924,B2,,0,adj,arming|unarmed,,
sensitive,3k-a,2247,27,4.353,1.0000,B2,,0,adj,insensitive|insensitivity|sensitively|sensitivities|sensitivity|sensitiveness|oversensitive|insensitively,,
prize,3k-a,2404,28,4.350,0.9927,A2,,0,n,prized|prizes,,
cancer,3k-a,2394,29,4.349,1.0000,B2,,0,n,cancerlike|cancerous|cancers,,
media,3k-a,2151,30,4.348,0.9894,A2,,1,n,,,
expert,3k-a,2169,31,4.345,0.9975,A2,,1,n|adj,expertly|expertness|experts|inexpert,,
ancient,3k-a,2382,32,4.336,0.9867,A2,,0,adj,anciently|ancients,,
victory,3k-a,2224,33,4.331,1.0000,B2,,0,n,victories|victorious|victoriously,,
route,3k-a,2140,34,4.329,0.9977,A2,,1,n,routed|routes|routing|reroute|rerouted|rerouting|reroutes,,
authority,3k-a,2001,35,4.326,0.9976,B1,,1,n,authorities,,
