family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
ray,5k-a,4004,1,4.988,0.9953,C1,,0,n,rayed|rays,,
pal,5k-a,4497,2,4.760,0.9714,,,0,n,pally|pals,,
dumb,5k-a,4488,3,4.671,0.9974,C1,,0,adj,dumber|dumbest|dumbly|dumbness,,
madam,5k-a,4034,4,4.643,0.9757,,,0,n,madame|madames|madams,,
jealous,5k-a,4278,5,4.583,0.9948,,,0,adj,jealously,,
majesty,5k-a,4234,6,4.562,0.9926,,,0,n,majesties,,
bud,5k-a,4199,7,4.549,0.9908,,,0,name,budded|budding|buds,,
crane,5k-a,4359,8,4.526,0.9944,,,0,name,craned|cranes|craning,,
witch,5k-a,4321,9,4.441,0.9975,,,0,n,witches|witching|witchery,,
bust,5k-a,4439,10,4.440,1.0000,,,0,v,busted|buster|busters|busting,,
knight,5k-a,4016,11,4.427,0.9974,,,0,name,knighted|knighthood|knightly|knights,,
pierce,5k-a,4412,12,4.410,0.9837,,,0,name,pierced|pierces|piercing|piercingly,,
pa,5k-a,4242,13,4.378,0.7429,,,0,name,,,
maid,5k-a,4162,14,4.358,0.9951,,,0,n,maids,,
chuck,5k-a,4345,15,4.332,0.9832,,,0,v,chucked|chucking|chucks,,
revenge,5k-a,4256,16,4.280,0.9974,C1,,0,n,revenges|revenging|revenged|revengeful,,
marshal,5k-a,4012,17,4.247,0.9176,,,0,n,marshall|marshalled|marshalling|marshalls|marshals,,
bail,5k-a,4150,18,4.239,0.9928,C1,,0,n,bailed|bailing|bails,,
lad,5k-a,4005,19,4.159,0.9898,C1,,0,n,laddie|laddies|lads,,
zoo,5k-a,4479,20,4.135,0.9949,,,0,n,zoos,,
cherry,5k-a,4205,21,4.133,0.9951,,,0,n,cherries,,
baron,5k-a,4062,22,4.129,0.9868,,,0,n,baroness|baronesses|baronial|barons|barony,,
paradise,5k-a,4318,23,4.122,0.9954,,,0,n,paradisal|paradises,,
