family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
al,6k-a,5001,1,5.017,0.4062,,,0,name,,,
dean,6k-a,5008,2,4.587,0.9877,,,0,name,deanery|deans|deanship|deanships,,
peg,6k-a,5028,3,4.561,0.9945,,,0,name,pegged|pegging|pegs,,
carol,6k-a,5032,4,4.458,0.9747,,,0,name,carolled|carolling|carols|caroler|carolers,,
lily,6k-a,5045,5,4.429,0.9784,,,0,name,lilies,,
robin,6k-a,5005,6,4.397,0.9927,,,0,name,robins,,
punk,6k-a,5302,7,4.342,0.9900,B2,,0,n,punks,,
booth,6k-a,5150,8,4.309,0.9975,,,0,n,booths,,
reverend,6k-a,5009,9,4.276,0.9719,,,0,n,rev|revd|reverends,,
jersey,6k-a,5038,10,4.258,0.9931,,,0,name,jerseys,,
oscar,6k-a,5119,11,4.250,,,,0,name,oscars,,
admiral,6k-a,5075,12,4.219,1.0000,,,0,n,admirals|adml,,
wade,6k-a,5110,13,4.217,0.9669,,,0,name,waded|wader|waders|wades|wading,,
honeymoon,6k-a,5447,14,4.209,0.9949,,,0,n,honeymooner|honeymooners|honeymoons,,
corporal,6k-a,5203,15,4.197,0.9848,,,0,n,corporals,,
bum,6k-a,5416,16,4.188,0.9951,,,0,n,bummed|bumming|bums,,
sherry,6k-a,5423,17,4.141,0.9687,,,0,n,sherries,,
penis,6k-a,5469,18,4.128,0.9972,,,0,n,penises,,
vault,6k-a,5325,19,4.081,0.9919,,,0,n,vaults,,
psychic,6k-a,5497,20,4.074,0.9917,,,0,adj,psychical|psychically|psychics,,
gin,6k-a,5358,21,4.052,0.9877,,,0,n,gins,,
warden,6k-a,5066,22,4.051,0.9903,,,0,n,wardens|wardenship,,
luggage,6k-a,5308,23,4.046,0.9924,,,0,n,luggages,,
brandy,6k-a,5098,24,4.046,0.9922,,,0,n,brandies,,
ape,6k-a,5498,25,3.986,0.9951,,,0,n,aped|apelike|apes|aping,,
reed,6k-a,5034,26,3.959,0.9830,,,0,name,reedier|reediest|reediness|reeds|reedy,,
coroner,6k-a,5091,27,3.954,0.9868,,,0,n,coroners,,
rash,6k-a,5429,28,3.906,0.9951,,,0,n,rashes|rashly|rashness,,
attic,6k-a,5332,29,3.895,0.9787,,,0,n,attics,,
hush,6k-a,5363,30,3.882,0.9975,,,0,exclam,hushed|hushes|hushing,,
jolly,6k-a,5082,31,3.875,0.9925,,,0,adv,jolliness|jollity,,
chess,6k-a,5299,32,3.873,1.0000,,,0,n,,,
racket,6k-a,5477,33,3.872,0.9952,,,0,n,racketeer|racketeered|racketeering|racketeers|rackets,,
gracious,6k-a,5329,34,3.855,0.9899,,,0,adj,graciously|graciousness|ungracious|ungraciously,,
jelly,6k-a,5355,35,3.853,0.9949,,,0,n,jellied|jellies|jellylike,,
hysterical,6k-a,5421,36,3.852,0.9945,,,0,adj,hysteric|hysterically|hysterics,,
sponge,6k-a,5166,37,3.827,1.0000,,,0,n,sponged|sponges|sponginess|sponging|spongy,,
gypsy,6k-a,5052,38,3.822,0.9947,,,0,n,gipsies|gipsy|gypsies,,
vain,6k-a,5083,39,3.814,0.9952,,,0,adv,vainer|vainest|vainly,,
ignorant,6k-a,5185,40,3.797,0.9952,,,1,adj,ignorantly,,
willow,6k-a,5387,41,3.796,0.9901,,,0,n,willowier|willowiest|willows|willowy,,
ashore,6k-a,5330,42,3.794,0.9240,,,0,adv,,,
dental,6k-a,5353,43,3.792,0.9949,,,0,adj,dentally,,
carpenter,6k-a,5222,44,3.779,0.9949,,,0,name,carpenters|carpentry,,
disco,6k-a,5064,45,3.762,0.9975,,,0,n,discos,,
jealousy,6k-a,5182,46,3.760,0.9901,,,0,n,jealousies,,
beware,6k-a,5491,47,3.759,0.9976,,,0,v,,,
millionaire,6k-a,5359,48,3.757,0.9952,,,0,n,millionaires,,
maiden,6k-a,5266,49,3.744,0.9972,,,0,n,maidenly|maidens,,
puppet,6k-a,5366,50,3.739,1.0000,,,0,n,puppeteer|puppeteers|puppets|puppetry,,
clumsy,6k-a,5281,51,3.733,0.9881,,,0,adj,clumsier|clumsiest|clumsily|clumsiness,,
donkey,6k-a,5212,52,3.730,0.9976,,,0,n,donkeys,,
vomit,6k-a,5335,53,3.728,1.0000,,,0,v,vomited|vomiting|vomits,,
gutter,6k-a,5238,54,3.720,0.9886,,,0,n,guttering|gutterings|gutters,,
banquet,6k-a,5459,55,3.713,0.9928,,,0,n,banqueted|banqueting|banquets,,
saloon,6k-a,5262,56,3.712,0.9976,,,0,n,saloons,,
thorn,6k-a,5113,57,3.708,1.0000,,,0,name,thornier|thorniest|thorniness|thorns|thorny,,
hound,6k-a,5152,58,3.703,0.9950,,,0,n,hounded|hounding|hounds,,
quiz,6k-a,5181,59,3.695,1.0000,,,0,n,quizzed|quizzes|quizzing|quizzingly,,
sewer,6k-a,5406,60,3.674,0.9906,,,0,n,sewerage|sewers,,
pike,6k-a,5350,61,3.663,0.9845,,,0,n,pikes,,
garrison,6k-a,5324,62,3.661,0.8897,,,0,n,garrisoned|garrisoning|garrisons,,
hospitality,6k-a,5095,63,3.657,1.0000,,,0,n,hospitalities,,
riddle,6k-a,5414,64,3.657,0.9977,,,0,n,riddled|riddles|riddling,,
despise,6k-a,5215,65,3.655,0.9872,,,0,v,despised|despises|despising,,
trek,6k-a,5368,66,3.654,0.9733,,,0,name,trekked|trekker|trekkers|trekking|treks,,
loaf,6k-a,5448,67,3.652,0.9976,,,0,n,loaves,,
crow,6k-a,5300,68,3.650,1.0000,,,0,n,crowed|crowing|crows,,
buffet,6k-a,5352,69,3.648,0.9948,,,0,n,buffets,,
grudge,6k-a,5413,70,3.648,0.9891,,,0,n,grudged|grudges|grudging|grudgingly|ungrudging,,
barracks,6k-a,5343,71,3.648,,,,0,n,,,
rhyme,6k-a,5198,72,3.646,0.9907,,,0,n,rhymed|rhymes|rhyming|unrhyming,,
radius,6k-a,5234,73,3.644,0.9975,,,0,n,radii|radiuses,,
squadron,6k-a,5020,74,3.644,0.9634,,,0,n,squadrons,,
strangle,6k-a,5349,75,3.642,0.9923,,,0,v,strangled|strangler|stranglers|strangles|strangling|strangulation|strangulations,,
hull,6k-a,5017,76,3.626,0.9976,,,0,n,hulls,,
groove,6k-a,5145,77,3.620,0.9975,,,0,n,grooved|grooves,,
villain,6k-a,5431,78,3.620,0.9816,,,0,n,villainous|villains|villainy,,
mop,6k-a,5468,79,3.618,0.9852,,,0,n,mopped|mopping|mops,,
hitch,6k-a,5310,80,3.612,0.9943,,,0,n,hitched|hitches|hitching,,
compass,6k-a,5326,81,3.610,0.9948,,,0,n,compasses,,
mar,6k-a,5024,82,3.606,0.7222,,,0,v,marred|marring|mars,,
portable,6k-a,5046,83,3.604,1.0000,,,0,adj,portability|portables,,
wrench,6k-a,5483,84,3.599,0.9974,,,0,n,wrenched|wrenches|wrenching,,
bladder,6k-a,5051,85,3.599,0.9925,,,0,n,bladders,,
ale,6k-a,5134,86,3.599,0.9829,,,0,n,ales,,
barge,6k-a,5500,87,3.591,0.9911,,,0,v,barges,,
mercury,6k-a,5043,88,3.584,0.9908,,,0,name,,,
hare,6k-a,5183,89,3.584,0.9776,,,0,n,hares,,
alas,6k-a,5346,90,3.584,0.9710,,,0,exclam,,,
slit,6k-a,5296,91,3.582,0.9865,,,0,v,slits|slitting|slitted,,
loft,6k-a,5311,92,3.564,0.9877,,,0,n,lofts,,
mini,6k-a,5010,93,3.559,0.9841,,,0,adj,minis,,
convoy,6k-a,5155,94,3.552,0.9925,,,0,n,convoys,,
brownie,6k-a,5269,95,3.550,0.9976,,,0,n,brownies,,
masterpiece,6k-a,5438,96,3.550,0.9973,,,0,n,masterpieces,,
dent,6k-a,5481,97,3.550,0.9917,,,0,n,dented|denting|dents|undented,,
disregard,6k-a,5116,98,3.547,0.9877,,,0,v,disregarded|disregarding|disregards,,
berry,6k-a,5122,99,3.545,0.9974,,,0,name,berries,,
polo,6k-a,5365,100,3.545,0.9900,,,0,n,,,
secrecy,6k-a,5276,101,3.542,0.9781,,,0,n,,,
lava,6k-a,5376,102,3.540,0.9905,,,0,n,lavas,,
deceive,6k-a,5192,103,3.535,0.9874,,,0,v,deceived|deceiver|deceivers|deceives|deceiving|undeceive|undeceived|undeceives|undeceiving,,
fin,6k-a,5242,104,3.535,0.9322,,,0,n,finned|finny|fins,,
fortress,6k-a,5317,105,3.530,1.0000,,,0,n,fortresses,,
scarlet,6k-a,5041,106,3.517,0.9930,,,0,adj,,,
bash,6k-a,5465,107,3.517,0.9920,,,0,v,bashed|bashes|bashing,,
irresistible,6k-a,5422,108,3.512,0.9882,,,0,adj,irresistibly,,
rouge,6k-a,5445,109,3.512,0.9730,,,0,n,rouges,,
cockpit,6k-a,5412,110,3.509,1.0000,,,0,n,cockpits,,
parachute,6k-a,5202,111,3.504,0.9930,,,0,n,parachuted|parachutes|parachuting|parachutist|parachutists,,
deception,6k-a,5151,112,3.499,0.9973,,,0,n,deceptions,,
bliss,6k-a,5380,113,3.499,0.9927,,,0,n,blisses|blissful|blissfully|blissfulness,,
propaganda,6k-a,5033,114,3.496,0.9948,C1,,0,n,propagandas|propagandist|propagandists,,
deposition,6k-a,5453,115,3.479,0.9975,,,0,n,depositional|depositions,,
stranded,6k-a,5334,116,3.479,0.9932,,,0,adj,stranding|strandings,,
vicinity,6k-a,5449,117,3.479,0.9883,,,0,n,vicinities,,
trinity,6k-a,5156,118,3.468,0.9922,,,0,name,trinities,,
underway,6k-a,5433,119,3.465,0.9926,,,0,adv,,,
mare,6k-a,5106,120,3.465,0.9632,,,0,n,mares,,
bandage,6k-a,5451,121,3.459,0.9930,,,0,n,bandaged|bandages|bandaging|unbandaged,,
deacon,6k-a,5207,122,3.459,0.9353,,,0,n,archdeacon|archdeacons|deaconess|deaconesses|deacons,,
moss,6k-a,5049,123,3.456,0.9945,,,0,name,mosses|mossier|mossiest|mossy,,
constable,6k-a,5004,124,3.453,0.9773,,,0,n,constables|constabulary,,
infantry,6k-a,5484,125,3.453,0.9744,,,0,n,infantries,,
kettle,6k-a,5080,126,3.450,0.9976,,,0,n,kettles,,
refund,6k-a,5470,127,3.444,1.0000,,,0,n,nonrefundable|refundable|refunded|refunding|refunds,,
abide,6k-a,5286,128,3.435,0.9907,,,0,v,abided|abides|abiding,,
mingle,6k-a,5320,129,3.432,0.9946,,,0,v,intermingle|intermingled|intermingles|intermingling|mingled|mingles|mingling,,
pornography,6k-a,5077,130,3.429,0.9976,,,0,n,porn|porno|pornographer|pornographers|pornographic|pornographically|pornographies,,
jug,6k-a,5258,131,3.422,0.9944,,,0,n,jugful|jugs,,
mend,6k-a,5199,132,3.419,0.9882,,,0,v,mended|mender|menders|mending|mends|unmended,,
dishonest,6k-a,5218,133,3.416,0.9977,B2,,0,adj,dishonestly|dishonesty,,
perish,6k-a,5444,134,3.416,0.9934,,,0,v,imperishable|imperishably|nonperishable|perishable|perishables|perished|perishes|perishing,,
morbid,6k-a,5417,135,3.416,0.9929,,,0,adj,morbidity|morbidly|morbidness,,
reap,6k-a,5474,136,3.416,0.9919,,,0,v,reaped|reaper|reapers|reaping|reaps,,
dynasty,6k-a,5210,137,3.409,0.9954,,,0,n,dynastic|dynasties,,
diploma,6k-a,5065,138,3.406,0.9928,,,0,n,diplomas,,
rave,6k-a,5189,139,3.406,0.9925,,,0,n,raved|raver|ravers|raves|raving|ravings,,
colon,6k-a,5108,140,3.406,0.9890,,,0,n,colons|semicolon|semicolons,,
alphabet,6k-a,5221,141,3.399,0.9954,,,0,n,alphabetic|alphabetical|alphabetically|alphabetise|alphabetised|alphabetises|alphabetising|alphabetize|alphabetized|alphabetizes|alphabetizing|alphabets,,
gem,6k-a,5437,142,3.396,0.9926,,,0,n,gems,,
fascist,6k-a,5044,143,3.392,0.9765,,,0,adj,fascists,,
curry,6k-a,5347,144,3.389,0.9977,,,0,n,curried|curries|currying,,
tart,6k-a,5458,145,3.382,0.9971,,,0,n,tartly|tarts|tarty,,
ordeal,6k-a,5374,146,3.378,0.9916,,,0,n,ordeals,,
jaguar,6k-a,5488,147,3.378,0.9853,,,0,n,jaguars,,
bleach,6k-a,5291,148,3.367,0.9974,,,0,n,bleached|bleaches|bleaching|unbleached,,
sling,6k-a,5244,149,3.364,0.9950,,,0,n,slinging|slings|slung,,
schizophrenic,6k-a,5411,150,3.364,0.9926,,,0,adj,schizophrenia|schizophrenics,,
kite,6k-a,5069,151,3.364,0.9863,,,0,n,kites,,
reflex,6k-a,5256,152,3.360,0.9977,,,0,n,reflexes|reflexive|reflexivity,,
moth,6k-a,5418,153,3.360,0.9950,,,0,n,moths,,
