family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
kidding,6k-b,5973,1,5.126,0.9973,,,0,v,kidded|kidder|kidders,,
buddy,6k-b,5951,2,5.012,1.0000,C1,,0,n,buddies,,
cute,6k-b,5966,3,4.943,0.9975,B2,,0,adj,cutely|cuteness|cutey,,
freak,6k-b,5666,4,4.565,0.9971,,,0,n,freakier|freakiest|freakish|freakishly|freakishness|freaks|freaky,,
babe,6k-b,5965,5,4.551,0.9894,,,0,n,babes,,
awesome,6k-b,5909,6,4.496,0.9977,,,0,adj,awesomely|awesomeness,,
closet,6k-b,5983,7,4.432,0.9954,,,0,n,closeted|closeting|closets,,
garbage,6k-b,5977,8,4.416,1.0000,,,0,n,garbages,,
trash,6k-b,5984,9,4.351,0.9956,,,0,n,trashed|trashes|trashier|trashiest|trashiness|trashing|trashy,,
whore,6k-b,5855,10,4.324,0.9880,,,0,n,whored|whoreish|whores|whoring|whorish,,
casino,6k-b,5975,11,4.309,0.9868,C1,,0,n,casinos,,
soda,6k-b,5871,12,4.297,0.9977,,,0,n,sodas,,
bunny,6k-b,5805,13,4.268,0.9972,,,0,n,bunnies,,
locker,6k-b,5950,14,4.204,1.0000,,,0,n,lockers,,
dough,6k-b,5952,15,4.201,0.9949,,,0,n,doughier|doughiest|doughs|doughy,,
makeup,6k-b,5996,16,4.190,0.9955,,,0,n,,,
homicide,6k-b,5991,17,4.186,1.0000,,,0,n,homicidal|homicides,,
skinny,6k-b,5960,18,4.146,0.9975,,,0,adj,skinnier|skinniest|skinniness,,
audition,6k-b,5839,19,4.141,0.9975,,,0,n,auditioned|auditioning|auditions,,
howdy,6k-b,5999,20,4.115,0.9736,,,0,exclam,,,
nap,6k-b,5986,21,4.102,0.9954,,,0,n,napped|napping|naps,,
peanut,6k-b,5953,22,4.092,0.9977,,,0,n,peanuts,,
tattoo,6k-b,5866,23,4.078,1.0000,,,0,n,tatooe|tatooed|tatooing|tattooe|tattooed|tattooer|tattooers|tattooing|tattooist|tattooists|tattoos,,
lance,6k-b,5630,24,4.036,0.9745,,,0,n,lanced|lances|lancing,,
jeep,6k-b,5683,25,4.012,0.9950,,,0,n,jeeps,,
bachelor,6k-b,5580,26,3.995,0.9898,,,0,n,bachelorhood|bachelors,,
dummy,6k-b,5540,27,3.992,0.9974,,,0,n,dummies,,
necklace,6k-b,5915,28,3.989,0.9955,,,0,n,necklaces,,
amber,6k-b,5592,29,3.968,1.0000,,,0,n,,,
perimeter,6k-b,5754,30,3.956,0.9869,,,0,n,perimeters,,
barbecue,6k-b,5758,31,3.952,0.9839,,,0,n,barbecued|barbecues|barbecuing,,
briefcase,6k-b,5930,32,3.934,0.9950,,,0,n,briefcases,,
wig,6k-b,5714,33,3.922,0.9923,,,0,n,wigged|wigs,,
mole,6k-b,5577,34,3.907,0.9951,,,0,n,moles,,
hose,6k-b,5771,35,3.907,0.9869,,,0,n,hosed|hoses|hosing,,
tuna,6k-b,5934,36,3.904,0.9974,,,0,n,tunas,,
eternity,6k-b,5848,37,3.902,0.9949,,,0,n,eternities,,
lo,6k-b,5979,38,3.892,0.6839,,,0,exclam,,,
hunch,6k-b,5670,39,3.876,0.9975,,,0,n,hunched|hunches|hunching,,
lobster,6k-b,5963,40,3.866,0.9951,,,0,n,lobsters,,
carnival,6k-b,5935,41,3.853,0.9949,,,0,n,carnivals,,
gag,6k-b,5874,42,3.849,0.9970,,,0,n,gagged|gagging|gaggings|gags,,
mule,6k-b,5945,43,3.847,0.9947,,,0,n,mules|muleteer|muleteers|mulish|mulishly,,
razor,6k-b,5503,44,3.838,0.9931,,,0,n,razors,,
shovel,6k-b,5907,45,3.836,1.0000,,,0,n,shovelful|shovelfuls|shovelled|shovelling|shovels,,
lottery,6k-b,5896,46,3.830,0.9948,B2,,0,n,lotteries,,
woo,6k-b,5648,47,3.828,0.9255,,,0,v,wooed|wooer|wooers|wooing|wooings|woos,,
scissors,6k-b,5708,48,3.826,0.9912,,,0,n,scissor,,
siren,6k-b,5820,49,3.817,0.9806,,,0,n,sirens,,
mustard,6k-b,5574,50,3.810,0.9950,,,0,n,mustards,,
stew,6k-b,5681,51,3.809,0.9976,,,0,n,stewed|stewing|stews,,
sperm,6k-b,5705,52,3.796,0.9976,,,0,n,sperms,,
screech,6k-b,5883,53,3.796,0.9948,,,0,n,screeched|screeches|screeching|screechings,,
bluff,6k-b,5853,54,3.794,0.9974,,,0,n,bluffed|bluffer|bluffers|bluffing|bluffly|bluffs,,
cavalry,6k-b,5545,55,3.794,0.9854,,,0,n,cavalries,,
den,6k-b,5557,56,3.787,0.9902,,,0,n,dens,,
yen,6k-b,5562,57,3.787,0.9404,,,0,n,yens,,
martial,6k-b,5564,58,3.765,0.9900,B2,,0,adj,martially,,
cracker,6k-b,5937,59,3.762,0.9948,,,0,n,crackers,,
tab,6k-b,5561,60,3.762,0.9929,,,0,n,tabbed|tabbing|tabs,,
cuff,6k-b,5672,61,3.757,0.9908,,,0,n,cuffed|cuffing|cuffs,,
dove,6k-b,5652,62,3.747,1.0000,,,0,n,doves,,
warp,6k-b,5676,63,3.741,0.9953,,,0,n,warped|warping|warps,,
squirrel,6k-b,5893,64,3.739,0.9952,,,0,n,squirreled|squirreling|squirrels,,
godfather,6k-b,5656,65,3.737,0.9973,,,0,n,godchild|godchildren|goddaughter|goddaughters|godfathers|godmother|godmothers|godparent|godparents|godson|godsons,,
ambush,6k-b,5739,66,3.736,0.9949,,,0,n,ambushed|ambusher|ambushers|ambushes|ambushing|ambushings,,
syrup,6k-b,5980,67,3.708,1.0000,,,0,n,syrups|syrupy,,
vagina,6k-b,5504,68,3.705,0.9956,,,0,n,vaginal|vaginally|vaginas,,
payroll,6k-b,5841,69,3.703,0.9974,,,0,n,payrolls,,
pneumonia,6k-b,5790,70,3.703,0.9930,,,0,n,pneumonias,,
camel,6k-b,5572,71,3.702,0.9973,,,0,n,camels,,
cocoa,6k-b,5632,72,3.702,0.9887,,,0,n,cocoas,,
slug,6k-b,5812,73,3.697,0.9947,,,0,n,slugged|slugging|slugs|slugger|sluggers,,
lizard,6k-b,5824,74,3.686,0.9950,,,0,n,lizards,,
merchandise,6k-b,5948,75,3.683,0.9976,,,0,n,merchandised|merchandises|merchandising|merchandize|merchandized|merchandizes|merchandizing,,
tickle,6k-b,5880,76,3.683,0.9974,,,0,v,tickled|tickler|ticklers|tickles|tickling|ticklish,,
raft,6k-b,5623,77,3.674,0.9973,,,0,n,rafted|rafting|rafts,,
yank,6k-b,5987,78,3.674,0.9859,,,0,v,yanked|yanking|yanks,,
souvenir,6k-b,5711,79,3.674,0.9825,,,0,n,souvenirs,,
bunker,6k-b,5818,80,3.672,0.9945,,,0,n,bunkers,,
nightclub,6k-b,5815,81,3.668,0.9894,,,0,n,nightclubs,,
decency,6k-b,5662,82,3.667,0.9926,,,0,n,decencies|indecencies|indecency,,
pickle,6k-b,5854,83,3.665,0.9950,,,0,n,pickled|pickles|pickling,,
coconut,6k-b,5931,84,3.663,0.9973,,,0,n,coconuts,,
intern,6k-b,5974,85,3.659,0.9925,,,0,n,interned|interning|internment|internments|interns|internship|internships|internist|internists,,
cherish,6k-b,5615,86,3.650,0.9974,,,0,v,cherished|cherishes|cherishing,,
slippery,6k-b,5742,87,3.646,0.9910,,,0,adj,slipperier|slipperiest|slipperiness,,
mash,6k-b,5803,88,3.644,0.9874,,,0,n,mashed|masher|mashers|mashes|mashing,,
portal,6k-b,5734,89,3.640,0.9909,,,0,n,portals,,
pastor,6k-b,5972,90,3.634,0.9834,C1,,0,n,pastors,,
itch,6k-b,5796,91,3.622,1.0000,,,0,n,itched|itches|itchier|itchiest|itchiness|itching|itchy,,
vanity,6k-b,5894,92,3.616,0.9948,,,0,n,vanities,,
salvage,6k-b,5587,93,3.616,0.9946,,,0,v,salvageable|salvaged|salvages|salvaging|salvagings|unsalvageable,,
crate,6k-b,5728,94,3.614,0.9869,,,0,n,crated|crates|crating,,
tuition,6k-b,5747,95,3.608,0.9880,C1,,0,n,tuitions,,
cardiac,6k-b,5800,96,3.599,0.9894,,,0,adj,,,
retard,6k-b,5674,97,3.597,0.9901,,,0,n,retardant|retardation|retardations|retarded|retarding|retards,,
flirt,6k-b,5507,98,3.595,0.9976,,,0,v,flirtation|flirtations|flirtatious|flirtatiously|flirted|flirting|flirts|flirty,,
erotic,6k-b,5537,99,3.595,0.9891,,,0,adj,erotically|eroticism,,
forensic,6k-b,5625,100,3.595,0.9885,,,0,adj,forensically,,
gigantic,6k-b,5877,101,3.573,1.0000,,,0,adj,gigantically,,
rogue,6k-b,5834,102,3.573,0.9977,,,0,n,rogues|roguish,,
seizure,6k-b,5595,103,3.573,0.9809,,,0,n,seizures,,
premiere,6k-b,5967,104,3.571,0.9871,,,0,n,premiered|premieres|premiering,,
scalp,6k-b,5863,105,3.568,0.9953,,,0,n,scalped|scalper|scalpers|scalping|scalps,,
cosmic,6k-b,5876,106,3.559,0.9927,,,0,adj,cosmically,,
zoom,6k-b,5816,107,3.552,0.9954,,,0,v,zoomed|zooming|zoomings|zooms,,
meteor,6k-b,5927,108,3.550,0.9867,,,0,n,meteoric|meteorically|meteorite|meteorites|meteors,,
ledge,6k-b,5601,109,3.547,0.9952,,,0,n,ledges,,
mentor,6k-b,5961,110,3.545,1.0000,C1,,0,n,mentored|mentoring|mentors,,
recess,6k-b,5704,111,3.545,0.9975,,,0,n,recessed|recesses|recessing,,
tally,6k-b,5862,112,3.545,0.9833,,,0,v,tallied|tallies|tallying,,
cadet,6k-b,5856,113,3.540,0.9793,,,0,n,cadets,,
pharmacy,6k-b,5903,114,3.537,1.0000,,,0,n,pharmacies|pharmacist|pharmacists,,
intuition,6k-b,5530,115,3.537,0.9976,,,0,n,intuitions,,
plum,6k-b,5722,116,3.535,0.9951,,,0,n,plummier|plummiest|plummy|plums,,
lettuce,6k-b,5789,117,3.532,0.9976,,,0,n,lettuces,,
notch,6k-b,5827,118,3.525,0.9975,,,0,n,notched|notches|notching,,
falcon,6k-b,5740,119,3.522,0.9854,,,0,n,falconry|falcons,,
parrot,6k-b,5532,120,3.517,0.9975,,,0,n,parroted|parroting|parrots,,
credentials,6k-b,5921,121,3.515,0.9974,,,0,n,credential|credentialism,,
maple,6k-b,5833,122,3.512,0.9975,,,0,n,maples,,
fern,6k-b,5650,123,3.507,0.9821,,,0,n,fernier|ferniest|ferns|ferny,,
duct,6k-b,5762,124,3.499,0.9888,,,0,n,ducted|ducting|ductless|ducts,,
paw,6k-b,5694,125,3.496,0.9762,,,0,n,pawed|pawing|paws,,
tavern,6k-b,5751,126,3.493,0.9921,,,0,n,taverners|taverns,,
comet,6k-b,5936,127,3.490,0.9838,,,0,n,comets,,
twilight,6k-b,5929,128,3.488,1.0000,,,0,n,twilights,,
hub,6k-b,5940,129,3.488,0.9921,,,0,n,hubs,,
oyster,6k-b,5942,130,3.488,0.9875,,,0,n,oysters,,
cavity,6k-b,5528,131,3.477,0.9948,,,0,n,cavities,,
outlaw,6k-b,5586,132,3.468,0.9904,,,0,n,outlawed|outlawing|outlaws,,
cabbage,6k-b,5685,133,3.465,1.0000,,,0,n,cabbages,,
covert,6k-b,5649,134,3.465,0.9908,,,0,adj,covertly|covertness|coverts,,
bun,6k-b,5773,135,3.462,0.9947,,,0,n,buns,,
