family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
honey,2k-b,1914,1,5.477,0.9976,,,0,n,honeyed|honeys,,
alive,2k-b,1621,2,5.188,0.9947,A2,,0,adj,,,
boss,2k-b,1605,3,5.094,0.9974,A2,,0,n,bossed|bosses|bossing|bossy|bossiness,,
fault,2k-b,1518,4,5.017,0.9976,B2,,0,n,faulted|faulting|faultless|faultlessly|faults|faulty|unfaulted|faultily|faultiness,,
mama,2k-b,1984,5,5.015,0.9718,,,0,n,maman|mamas|mamma|mammas|momma|mommas,,
weird,2k-b,1958,6,5.004,0.9929,B2,,0,adj,weirder|weirdest|weirdly|weirdness|weirdo|weirdos,,
smart,2k-b,1837,7,4.983,1.0000,B1,,0,adj,smarten|smartened|smartening|smartens|smarter|smartest|smartly|smartness|smarty,,
plane,2k-b,1512,8,4.980,1.0000,A1,,0,n,planes|aeroplane|aeroplanes,,
tough,2k-b,1591,9,4.956,0.9978,B2,,0,adj,toughen|toughened|toughener|tougheners|toughening|toughens|tougher|toughest|toughies|toughness|toughy|toughly,,
quit,2k-b,1970,10,4.954,1.0000,B1,,0,v,quits|quitted|quitter|quitters|quitting,,
fool,2k-b,1622,11,4.951,0.9897,B2,,0,n,fooled|fooling|foolish|foolishly|foolishness|fools|foolery,,
calm,2k-b,1590,12,4.949,0.9975,B1,,0,adj|v|n,calmed|calmer|calmest|calming|calmly|calmness|calms,,
swear,2k-b,1812,13,4.945,0.9925,B2,,0,v,swearing|swears|swore|sworn,,
cop,2k-b,1990,14,4.935,0.9955,C1,,0,n,cops,,
proud,2k-b,1658,15,4.922,1.0000,B1,,0,adj,prouder|proudest|proudly|proudness,,
apartment,2k-b,1878,16,4.919,0.9977,A1,,0,n,apartments|apts,,
lawyer,2k-b,1578,17,4.900,1.0000,A2,,0,n,lawyers,,
angel,2k-b,1830,18,4.893,0.9919,C1,,0,n,angelic|angelically|angels,,
soul,2k-b,1629,19,4.886,0.9922,B2,,0,n,soulful|soulfully|soulfulness|soulless|soullessly|souls,,
forgive,2k-b,1767,20,4.885,0.9921,B2,,0,v,forgave|forgivable|forgiven|forgiveness|forgives|forgiving|unforgivable|unforgivably|unforgiven|unforgiving,,
beer,2k-b,1661,21,4.877,0.9954,A1,,0,n,beers,,
upset,2k-b,1681,22,4.872,0.9958,B1,,0,adj|v,upsets|upsetting,,
owe,2k-b,1587,23,4.870,0.9759,B2,,0,v,owed|owes|owing,,
evil,2k-b,1722,24,4.864,0.9952,B2,,0,adj|n,eviler|evilest|evilly|evilness|evils,,
truck,2k-b,1879,25,4.862,0.9922,A2,,0,n,trucked|trucker|truckers|trucking|trucks,,
grab,2k-b,1740,26,4.850,1.0000,B2,,0,v,grabbed|grabber|grabbers|grabbing|grabby|grabs,,
seconds,2k-b,1516,27,4.849,,,,0,n,sec|secs,,
nervous,2k-b,1645,28,4.827,1.0000,A2,,0,adj,nervously|nervousness,,
idiot,2k-b,1985,29,4.820,0.9876,C1,,0,n,idiotic|idiotically|idiots,,
gift,2k-b,1522,30,4.809,0.9974,A2,,0,n,gifted|giftedness|gifting|giftings|gifts,,
sake,2k-b,1729,31,4.807,0.9900,C1,,0,n,sakes,,
gay,2k-b,1831,32,4.771,1.0000,B2,,0,adj,gaily|gayer|gayest|gayness|gays,,
bunch,2k-b,1933,33,4.770,0.9976,B2,,0,n,bunched|bunches|bunching,,
blame,2k-b,1521,34,4.769,1.0000,B2,,0,v|n,blamed|blameless|blamelessly|blames|blaming,,
camera,2k-b,1637,35,4.755,1.0000,A1,,0,n,cameras,,
heaven,2k-b,1701,36,4.752,0.9864,B2,,0,n,heavenly|heavens|heavenward|heavenwards,,
ridiculous,2k-b,1823,37,4.745,0.9952,B2,,0,adj,ridicule|ridiculed|ridicules|ridiculing|ridiculously|ridiculousness,,
dare,2k-b,1682,38,4.743,1.0000,B2,,0,v,dared|dares|daring|daringly,,
innocent,2k-b,1762,39,4.736,0.9978,B1,,0,adj,innocently|innocents,,
magic,2k-b,1588,40,4.721,0.9973,B1,,0,n|adj,magical|magically|magician|magicians,,
pregnant,2k-b,1639,41,4.716,0.9977,B2,,0,adj,pregnancies|pregnancy,,
witness,2k-b,1502,42,4.710,0.9927,B2,,0,n|v,unwitnessed|witnessed|witnesses|witnessing,,
beg,2k-b,1807,43,4.707,0.9948,B2,,0,v,beggar|beggars|begged|begging|begs|beggarly,,
moon,2k-b,1718,44,4.698,0.9952,A2,,0,n,moonless|moons,,
hero,2k-b,1604,45,4.697,1.0000,A2,,0,n,heroes|heroic|heroically|heroics|heroism|antihero|antiheros,,
asleep,2k-b,1843,46,4.697,0.9951,A2,,0,adj,,,
cousin,2k-b,1815,47,4.688,0.9905,A1,,0,n,cousins|cuz|cuzzies,,
cream,2k-b,1592,48,4.687,0.9949,A1,,0,n|adj,creamed|creamery|creamier|creamiest|creamily|creaminess|creaming|creams|creamy|creamer,,
enemy,2k-b,1568,49,4.685,0.9952,B1,,0,n,enemies,,
breathe,2k-b,1596,50,4.685,0.9922,B1,,0,v,breathable|breathed|breathes|breathing|unbreathable|unbreathing,,
coach,2k-b,1506,51,4.677,0.9952,A2,,0,n|v,coached|coaches|coaching,,
trick,2k-b,1659,52,4.674,1.0000,B1,,0,n|v,tricked|tricker|trickeries|trickers|trickery|trickier|trickiest|trickily|trickiness|tricking|tricks|tricky,,
mission,2k-b,1614,53,4.672,1.0000,B2,,0,n,missionaries|missionary|missioner|missioners|missions,,
knife,2k-b,1684,54,4.670,0.9956,A2,,0,n,knifed|knifes|knifing|knives,,
restaurant,2k-b,1528,55,4.667,0.9952,A1,,0,n,restaurants,,
blind,2k-b,1566,56,4.661,0.9976,B2,,0,adj,blinded|blinding|blindingly|blindly|blindness|blinds,,
ticket,2k-b,1551,57,4.658,0.9975,A1,,0,n,ticketless|tickets|ticketted|ticketed|ticketting,,
desk,2k-b,1577,58,4.642,0.9974,A1,,0,n,desks,,
meat,2k-b,1638,59,4.640,0.9975,A1,,0,n,meats|meaty,,
deserve,2k-b,1667,60,4.640,0.9974,B2,,0,v,deserved|deservedly|deserves|deserving|undeserved|undeserving,,
grace,2k-b,1698,61,4.626,0.9903,C1,,0,n,graced|graceful|gracefully|gracefulness|graceless|gracelessly|gracelessness|graces|gracing,,
loose,2k-b,1558,62,4.621,0.9951,B2,,0,adj,loosed|loosely|loosen|loosened|loosener|looseness|loosening|loosenings|loosens|looser|loosest|loosing|unloose,,
shame,2k-b,1792,63,4.618,0.9921,B2,,0,n,shamed|shameful|shamefully|shameless|shamelessly|shames|shaming,,
shower,2k-b,1829,64,4.614,0.9899,A1,,0,n,showered|showering|showers|showery,,
chest,2k-b,1640,65,4.612,0.9976,B1,,0,n,chested|chests,,
bite,2k-b,1768,66,4.610,0.9977,B1,,0,v|n,biter|biters|bites|biting|bitten,,
pretend,2k-b,1760,67,4.605,1.0000,B1,,0,v,pretended|pretender|pretenders|pretending|pretends,,
fantastic,2k-b,1959,68,4.599,0.9908,A1,,0,adj,fantastical|fantastically,,
bell,2k-b,1573,69,4.594,0.9975,B1,,0,n,belled|belling|bells,,
merry,2k-b,1992,70,4.592,0.9976,,,0,adj,merrier|merriest|merrily|merriment|merriness,,
pig,2k-b,1737,71,4.592,0.9948,A1,,0,n,pigged|piggies|pigging|piggish|piggy|piglet|piglets|piglike|pigs,,
cheese,2k-b,1742,72,4.591,0.9974,A1,,0,n,cheesed|cheeses,,
soldier,2k-b,1503,73,4.590,0.9951,A2,,0,n,soldiered|soldiering|soldiers|soldiery|soldierly,,
planet,2k-b,1778,74,4.588,0.9922,A2,,0,n,interplanetary|planetary|planets,,
split,2k-b,1539,75,4.583,0.9945,B2,,0,v|n,splits|splitting,,
hook,2k-b,1776,76,4.579,0.9976,B2,,0,v|n,hooked|hooking|hooks|unhook|unhooked|unhooking|unhooks,,
incredible,2k-b,1871,77,4.577,0.9974,A2,,0,adj,incredibly,,
sugar,2k-b,1609,78,4.577,0.9929,A1,,0,n,sugared|sugars|sugary|sugarless,,
screw,2k-b,1857,79,4.574,0.9950,C1,,0,v|n,screwed|screwing|screws|unscrew|unscrewed|unscrewing|unscrews,,
mail,2k-b,1601,80,4.566,0.9976,A2,,0,n|v,mailed|mailing|mailings|mails,,
spell,2k-b,1535,81,4.564,0.9976,A1,,0,v|n,misspell|misspelled|misspelling|misspellings|misspelt|spelled|spelling|spellings|spells|spelt,,
ghost,2k-b,1844,82,4.563,1.0000,B1,,0,n,ghosted|ghosting|ghostlike|ghostly|ghosts,,
brilliant,2k-b,1634,83,4.554,1.0000,A2,,0,adj,brilliantly,,
junior,2k-b,1680,84,4.553,0.9975,B2,,0,adj,jnr|jr|juniors,,
pocket,2k-b,1519,85,4.552,0.9925,A2,,0,n,pocketed|pocketful|pocketfuls|pocketing|pockets|pocketsful,,
roof,2k-b,1507,86,4.552,0.9905,A2,,0,n,roofed|roofing|roofless|roofs|rooves,,
bless,2k-b,1808,87,4.544,0.9953,C1,,0,v,blessed|blessedly|blessedness|blesses|blessing|blessings|blest|unblessed,,
suck,2k-b,1909,88,4.542,0.9975,C1,,0,v,sucked|sucking|sucks,,
fancy,2k-b,1713,89,4.542,0.9926,B1,,0,v|adj,fancied|fancier|fancies|fanciest|fanciful|fancifully|fancifulness|fancily|fanciness|fancying,,
medicine,2k-b,1669,90,4.534,0.9926,A2,,0,n,medicinal|medicinally|medicines,,
mood,2k-b,1623,91,4.532,0.9974,B1,,0,n,moodily|moodiness|moods|moody,,
stomach,2k-b,1731,92,4.529,0.9973,A2,,0,n,stomachs,,
buck,2k-b,1973,93,4.528,0.9923,C1,,0,n,bucked|bucking|bucks,,
monkey,2k-b,1971,94,4.525,0.9975,A2,,0,n,monkeys,,
jacket,2k-b,1686,95,4.524,0.9929,A1,,0,n,jacketed|jackets,,
toast,2k-b,1930,96,4.524,0.9923,,,0,n,toasted|toaster|toasters|toastier|toastiest|toasting|toasts|toasty|untoasted,,
crack,2k-b,1626,97,4.516,1.0000,B2,,0,v|n,cracked|cracking|cracks,,
chase,2k-b,1710,98,4.516,0.9921,B2,,0,v|n,chased|chaser|chasers|chases|chasing,,
divorce,2k-b,1715,99,4.515,1.0000,B2,,0,n|v,divorced|divorcee|divorcees|divorces|divorcing,,
rat,2k-b,1788,100,4.513,0.9951,B2,,0,n,ratlike|rats|ratty,,
tiny,2k-b,1511,101,4.508,0.9974,B1,,0,adj,tinier|tiniest|tininess,,
lesson,2k-b,1582,102,4.508,0.9948,A1,,0,n,lessons,,
harm,2k-b,1545,103,4.502,1.0000,B2,,0,n|v,harmed|harmful|harmfully|harmfulness|harming|harmless|harmlessly|harmlessness|harms|unharmed,,
brave,2k-b,1799,104,4.501,0.9926,B1,,0,adj,braved|bravely|braveness|braver|bravery|braves|bravest|braving,,
