family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
lieutenant,4k-a,3151,1,5.017,0.9811,,,0,n,lieut|lieutenants|lt,,
colonel,4k-a,3215,2,4.983,0.9901,,,0,n,colonels,,
bastard,4k-a,3326,3,4.817,0.9945,,,0,n,bastardise|bastardised|bastardises|bastardising|bastardize|bastardized|bastardizes|bastardizing|bastards|bastardy,,
sergeant,4k-a,3021,4,4.798,0.9673,,,0,n,sarge|sergeants|serjeant|serjeants|sgt|sgts,,
ms,4k-a,3075,5,4.707,,,,0,n,,,
aye,4k-a,3004,6,4.642,0.9578,,,0,exclam,ay|ayes|ays,,
devil,4k-a,3179,7,4.616,0.9953,C1,,0,n,devilish|devilishly|devilishness|devilment|devilry|devils,,
cab,4k-a,3444,8,4.554,0.9950,,,0,n,cabs,,
handsome,4k-a,3350,9,4.518,0.9975,,,0,adj,handsomely|handsomeness,,
champagne,4k-a,3275,10,4.495,0.9910,,,0,n,champagnes,,
nonsense,4k-a,3363,11,4.454,0.9975,C1,,0,n,nonsensical,,
eve,4k-a,3468,12,4.450,0.9952,,,0,name,eves,,
bull,4k-a,3096,13,4.439,1.0000,,,0,n,bullish|bulls,,
mercy,4k-a,3387,14,4.403,1.0000,C1,,0,n,mercies|merciful|mercifully|mercifulness|merciless|mercilessly|mercilessness|unmerciful|unmercifully,,
pulse,4k-a,3337,15,4.371,0.9974,C1,,0,n,pulsed|pulses|pulsing,,
precious,4k-a,3353,16,4.368,0.9974,B2,,0,adj,preciously|preciousness,,
destiny,4k-a,3491,17,4.362,0.9954,,,0,n,destined|destines|destinies|destining,,
thou,4k-a,3141,18,4.351,0.9841,,,0,pron,tha|thee|thi|thine|thy|thyself,,
nightmare,4k-a,3361,19,4.350,0.9953,B2,,0,n,nightmares|nightmarish,,
ambulance,4k-a,3333,20,4.350,0.9925,B2,,0,n,ambulances,,
squad,4k-a,3042,21,4.332,0.9951,C1,,0,n,squaddie|squaddies|squaddy|squads,,
horn,4k-a,3235,22,4.324,0.9950,C1,,0,n,horned|horns|hornless,,
warrant,4k-a,3209,23,4.318,0.9978,C1,,0,n|v,unwarranted|warranted|warranting|warrants,,
diamond,4k-a,3378,24,4.315,0.9977,B1,,0,n,diamonds,,
earl,4k-a,3057,25,4.310,0.9645,,,0,n,earldom|earldoms|earls,,
script,4k-a,3383,26,4.292,0.9975,B1,,0,n,scripted|scripting|scripts|unscripted,,
custody,4k-a,3364,27,4.284,0.9922,C1,,0,n,custodial|custodies,,
virgin,4k-a,3163,28,4.275,1.0000,,,0,n,virginal|virginity|virgins,,
anniversary,4k-a,3173,29,4.265,0.9925,B2,,0,n,anniversaries,,
pat,4k-a,3047,30,4.262,0.9950,,,0,name,pats|patted|patting,,
kit,4k-a,3111,31,4.247,0.9952,B2,,0,n,kits|kitted|kitting,,
temple,4k-a,3052,32,4.244,0.9949,B2,,0,n,temples,,
avenue,4k-a,3274,33,4.227,0.9922,,,0,n,avenues,,
suite,4k-a,3313,34,4.221,1.0000,C1,,0,n,suites,,
surgeon,4k-a,3411,35,4.216,0.9952,B2,,0,n,surgeons,,
whiskey,4k-a,3222,36,4.207,0.9886,,,0,n,whiskeys|whiskies|whisky,,
surrender,4k-a,3357,37,4.189,0.9897,C1,,0,v,surrendered|surrendering|surrenders,,
soap,4k-a,3457,38,4.182,0.9977,A2,,0,n,soapier|soapiest|soapiness|soaps|soapy,,
noble,4k-a,3038,39,4.164,0.9955,C1,,0,adj,nobilities|nobility|nobleness|nobler|nobles|noblest|nobly|ignoble|ignobly,,
deaf,4k-a,3023,40,4.162,0.9953,,,0,adj,deafen|deafened|deafening|deafeningly|deafens|deafer|deafest|deafness,,
liver,4k-a,3360,41,4.155,0.9972,C1,,0,n,livers,,
ward,4k-a,3006,42,4.154,0.9919,C1,,0,n,wards|wardship|wardships,,
roses,4k-a,3296,43,4.152,,,,0,n,rosier|rosiest|rosily|rosiness|rosy,,
bush,4k-a,3005,44,4.150,0.9945,B2,,0,n,bushes|bushy,,
cave,4k-a,3251,45,4.146,1.0000,B2,,0,n,caved|caves|caving,,
rubber,4k-a,3277,46,4.146,1.0000,B2,,0,n|adj,rubberised|rubberized|rubbers|rubbery,,
oxygen,4k-a,3238,47,4.142,1.0000,B2,,0,n,oxygens,,
wreck,4k-a,3392,48,4.136,0.9919,,,0,n,wreckage|wreckages|wrecked|wrecker|wreckers|wrecking|wrecks,,
barn,4k-a,3484,49,4.133,1.0000,,,0,n,barns,,
intelligent,4k-a,3213,50,4.131,1.0000,A2,,1,adj,intelligently|unintelligent,,
