family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
sorry,1k-b,720,1,6.067,0.9974,A1,,0,adj|exclam,sorrier|sorriest|sorriness,,
thank,1k-b,511,2,6.047,0.9880,A1,,0,v,thanked|thankful|thankfully|thankfulness|thanking|thankless|thanklessly|thanks|thankyou|unthanked,,
please,1k-b,519,3,6.041,0.9948,A1,,0,exclam|v,pleased|pleases|pleasing|pleasingly|unpleased|unpleasing,,
sir,1k-b,540,4,5.984,0.9929,A2,,0,n,sirs,,
maybe,1k-b,748,5,5.966,0.9926,A1,,0,adv,,,
guy,1k-b,926,6,5.882,1.0000,A2,,0,n,guys,,
nice,1k-b,630,7,5.812,1.0000,A1,,0,adj,nicely|niceness|nicer|nicest,,
fine,1k-b,584,8,5.776,0.9974,A1,,0,adj|n|v,finely|fineness|finer|finery|finest,,
hello,1k-b,843,9,5.767,0.9975,A1,,0,exclam|n,allo|hallo|hey|hi|hullo,,
bad,1k-b,518,10,5.736,1.0000,A1,,0,adj,baddie|baddies|baddy|badly|badness,,
listen,1k-b,648,11,5.736,0.9974,A1,,0,v,listened|listener|listeners|listening|listenings|listens,,
wrong,1k-b,573,12,5.718,0.9905,A1,,0,adj|adv|n,wronged|wrongful|wrongfully|wrongfulness|wronging|wrongly|wrongness|wrongs,,
stay,1k-b,510,13,5.712,0.9951,A1,,0,v|n,stayed|stayer|staying|stays,,
baby,1k-b,710,14,5.706,0.9928,A1,,0,n,babby|babies|babyish|babyhood,,
ok,1k-b,618,15,5.706,0.9642,A1,,0,exclam|adj|adv,okay|okey,,
dad,1k-b,792,16,5.705,1.0000,A1,,0,n,daddies|daddy|dads,,
hell,1k-b,919,17,5.672,1.0000,B2,,0,n,hellish|hellishly|hellishness|hells,,
miss,1k-b,693,18,5.669,0.9900,A1,,0,v,,,
guess,1k-b,939,19,5.656,1.0000,A1,,0,v|n,guessable|guessed|guesses|guessing|unguessable,,
kill,1k-b,528,20,5.655,0.9924,A2,,0,v,killed|killer|killers|killing|killings|kills,,
